axis,category,pct,tier,source,is_subgroup
religion,Hindu,82.40,B,"2019 baseline 82.50%; slight relative Muslim gain (+0.1pp over 2yr); Mathabhanga II CDB 84.46% Hindu, Mathabhanga I 3 GPs ~80.77%; 10-yr projection from Census 2011",no
religion,Muslim,17.00,B,"2019 baseline 16.90%; border AC, modest relative gain; weighted from Mathabhanga II 15.26% + Mathabhanga I 18.61% CDB projected",no
religion,Christian,0.25,E,Stable; Mathabhanga II 0.18% + Mathabhanga I 0.02%; negligible change,no
religion,Sarna_ORP,0.20,E,Minimal; Cooch Behar district ST share ~1%; mostly Hindu-identified,no
religion,Other_residual,0.15,E,Sikh + Jain + Buddhist + Not_stated; residual; stable,no
caste,SC_total,61.50,B,Stable from 2019; Mathabhanga II SC 64.92% + Muni SC 23.89% + 3 GPs of Mathabhanga I ~68.77% SC (CDB I avg); weighted population-share; Cooch Behar is India's highest-SC district,no
caste,Rajbanshi_SC,55.00,C,Dominant SC sub-group in Cooch Behar; ~75% of SC pool per Print/Census pattern; Koch-Rajbanshi SC,yes
caste,Namasudra_SC,3.50,E,Second SC group in region; smaller presence,yes
caste,Other_SC,3.00,E,Residual SC sub-groups,yes
caste,ST_total,1.00,B,Mathabhanga II ST 1.31%; Mathabhanga I ST 0.06%; Muni ST negligible; stable,no
caste,UC_bhadralok,4.00,E,Brahmin/Kayastha/Baidya; very small in this predominantly SC-Rajbanshi district,no
caste,OBC,3.50,E,Koch-OBC and artisan communities,no
caste,Other_Hindu_middle,12.85,E,Residual within Hindu (82.40 − 61.50 SC − 1.00 ST − 4.00 UC − 3.50 OBC = 12.40; slight rounding),no
caste,Muslim,17.00,E,All sub-castes pooled; see C.1,no
caste,Christian_plus_Sarna_plus_Other,0.15,E,Christian 0.25 + Sarna 0.20 + Other 0.15 = 0.60; minor rounding; lumped per schema,no
age_cohort,18_22,11.50,E,Renormalized from Cooch Behar district Census 2011 age pyramid + 2yr cohort advance; 18+ only; NFHS-5 Koch Bihar: 25% population below age 15,no
age_cohort,23_27,12.50,E,2019 18_22 cohort advances; first-time voters 2021 aged into this group,no
age_cohort,28_32,11.50,E,,no
age_cohort,33_37,10.50,E,,no
age_cohort,38_42,10.00,E,,no
age_cohort,43_47,9.50,E,,no
age_cohort,48_52,8.50,E,,no
age_cohort,53_57,7.50,E,,no
age_cohort,58_62,6.50,E,,no
age_cohort,63_67,6.00,E,,no
age_cohort,68,6.00,E,68+ open-ended; slight aging of cohort,no
