Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,42.00,67.00,C,Post-COVID rural smartphone surge; +14pp from 2019 (Jio + COVID necessity)
Agricultural_labourer,32.00,58.00,C,Largest jump; Jio affordability; +14pp from 2019
Household_industry,46.00,70.00,C,Artisan weaver households
Manufacturing,58.00,78.00,C,Slightly higher income
Construction,52.00,70.00,C,Mobile-heavy; COVID returnees reconnected via smartphone
Trade_retail,72.00,84.00,C,Block-market traders; near-saturation
Transport_logistics,65.00,77.00,C,
Services,74.00,87.00,C,
Government_services_teachers,86.00,93.00,C,Highest access
Out_migrant_worker,68.00,74.00,D,Working outside; smartphone required for remittance/contact
