axis,category,pct,tier,source,is_subgroup
religion,Hindu,79.25,E,Cooch Behar district Census 2011 Hindu 79.7%; 10-yr projection with Hindu +0.9%/yr and Muslim +1.2%/yr differential; Natabari block slightly below district average,no
religion,Muslim,19.10,E,Cooch Behar district Muslim 18.4%; Natabari block slightly above; Tufanganj subdivision higher Muslim share; +0.3pp relative gain over 10yr,no
religion,Christian,0.78,E,Cooch Behar district 2011 ~0.9%; marginal decline; small Rajbanshi Christian fringe,no
religion,Sarna_ORP,0.47,E,Small tribal pocket; stable,no
religion,Other_residual,0.40,E,Sikh + Jain + Buddhist + Not_stated,no
caste,SC_total,28.00,A,Cooch Behar district SC 28.36% (Census 2011); Natabari block ~28% estimated; stable,no
caste,Rajbanshi_SC,22.00,C,Dominant SC in Cooch Behar; ~78% of SC pool; also found among OBC and General,yes
caste,Namasudra_SC,3.50,E,Smaller SC sub-group in Cooch Behar,yes
caste,Other_SC,2.50,E,"Residual SC (Bagdi, Koch, Jhalo-Malo, etc.)",yes
caste,ST_total,1.50,A,Cooch Behar district ST 1.54% (Census 2011); stable,no
caste,UC_bhadralok,4.00,E,Brahmin/Kayastha/Baidya; small in Rajbanshi-dominated AC,no
caste,OBC,12.00,E,Rajbanshi OBC (non-SC fraction of Rajbanshi community) + Koch-Rajbanshi + other OBC,no
caste,Other_Hindu_middle,33.75,E,Residual Hindu middle castes — Rajbanshi General + Saha + Sutradhar + Kaibarta + others; 79.25 − 28.0 SC − 1.5 ST − 4.0 UC − 12.0 OBC − 19.10 Muslim − 0.78 Chr − 0.47 Sarna ≈ 33.75 rounding,no
caste,Muslim,19.10,E,All sub-castes pooled (mostly Bengali-Sheikh in Cooch Behar),no
caste,Christian_plus_Sarna_plus_Other,1.65,E,Christian 0.78 + Sarna_ORP 0.47 + Other_residual 0.40,no
age_cohort,18_22,12.00,E,First-time voter cohort (born 1999–2003); 10-yr projection from 2011 Cooch Behar district age pyramid; NFHS-5 Koch Bihar population under 15 = 25.0% → slight expansion in young cohort,no
age_cohort,23_27,12.50,E,,no
age_cohort,28_32,12.00,E,,no
age_cohort,33_37,11.00,E,,no
age_cohort,38_42,10.50,E,,no
age_cohort,43_47,9.50,E,,no
age_cohort,48_52,9.00,E,,no
age_cohort,53_57,8.00,E,,no
age_cohort,58_62,7.00,E,,no
age_cohort,63_67,5.00,E,,no
age_cohort,68,3.50,E,68+ open-ended cohort,no
gender,Male,48.60,C,"NFHS-5 Koch Bihar sex ratio 1,058 F per 1000 M → 1000/(2058) = 48.59% M",no
gender,Female,51.39,C,1058/(2058) = 51.41% F; rounded,no
gender,Third_gender,0.01,E,State pattern; negligible,no
mother_tongue,Bengali,68.50,E,Cooch Behar district 2011 Bengali ~67%; slight increase with urbanization trend; stable to 2021,no
mother_tongue,Hindi,1.50,E,Trader and migrant worker fringe; stable,no
mother_tongue,Urdu,1.00,E,Small Muslim minority in urban pockets,no
mother_tongue,Other,1.50,E,"Residual catch-all (Assamese fringe, Nepali border communities, others)",no
mother_tongue,Rajbongshi,27.50,E,Rajbongshi/Rajbanshi language; AC-local dominant language; Cooch Behar district ~27-30% Rajbongshi-speaking,no
education,Illiterate,15.50,C,NFHS-5 Koch Bihar women ever attended school 75.7%; overall literacy estimated ~85% by 2021 → ~15.5% illiterate (age 18+); Cooch Behar below state average,no
education,Primary,24.00,E,"Census 2011 education distribution, Cooch Behar district scaled + 10-yr trend",no
education,Middle,22.00,E,,no
education,Secondary,17.00,E,,no
education,Higher_Secondary,11.00,E,+1pp from 2019 — secondary completion rising,no
education,Graduate,8.00,E,,no
education,Postgraduate,2.50,E,,no
workforce_status,Main_worker,32.00,E,Cooch Behar district Census 2011 main-worker share ~32-34%; COVID-shock minor dip in agri sector; recovering by mid-2021,no
workforce_status,Marginal_worker,12.00,E,Seasonal agricultural labour; stable,no
workforce_status,Non_worker,37.50,E,Housewife + elderly + retired; Lakshmir Bhandar (Apr 2021) direct beneficiaries enter this pool,no
workforce_status,Student,10.50,E,18–22 cohort in education; slight expansion,no
workforce_status,Unemployed,8.00,E,COVID-shock: elevated educated-unemployment in 2021; Cooch Behar urban youth aspirant pool,no
occupation,Cultivator,27.50,E,Cooch Behar district 2011 rural cultivator share ~30%; AC slightly below with some urban fringe; stable,no
occupation,Agricultural_labourer,29.50,E,Dominant in flat terai-plain; large landless SC/OBC pool; COVID temporary disruption recovered,no
occupation,Household_industry,5.00,E,Handloom + cottage industries; small Rajbanshi weaving tradition,no
occupation,Manufacturing,3.00,E,Limited organised manufacturing in Natabari block,no
occupation,Construction,7.00,E,Local construction + seasonal migration to larger towns; COVID-2020 reverse migration settled,no
occupation,Trade_retail,10.00,E,Block-level market towns (Natabari haat),no
occupation,Transport_logistics,4.00,E,Road transport; border-adjacent trade route; partial COVID disruption recovered,no
occupation,Services,8.50,E,Private sector services in block-level towns,no
occupation,Government_services_teachers,3.50,E,"Block-level govt offices, schools",no
occupation,Out_migrant_worker,2.00,D,Rajbanshi men to brick kilns in Siliguri/Kolkata; some COVID returnees re-departed by 2021,no
