Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,46.00,64.00,C,2019: 28%/60%; COVID-19 smartphone surge +18pp for cultivators; North Bengal rural agriculture
Agricultural_labourer,38.00,54.00,C,2019: 20%/50%; significant jump; PMJDY + welfare delivery via mobile
Household_industry,50.00,69.00,C,2019: 32%/65%
Manufacturing,62.00,78.00,C,Stable growth
Construction,56.00,69.00,C,2019: 38%/65%; COVID-19 return migrants brought smartphones
Trade_retail,76.00,88.00,C,2019: 62%/85%; Muni concentrated; high adoption
Transport_logistics,70.00,82.00,C,2019: 55%/78%
Services,78.00,88.00,C,2019: 65%/85%
Government_services_teachers,90.00,95.00,C,Near-saturated
Out_migrant_worker,78.00,75.00,D,Heavy smartphone use for remittances; slight TV decline as away
