Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,40.00,52.00,C,COVID-era surge; above 2019 22%
Agricultural_labourer,30.00,42.00,C,Lowest income; still large jump
Household_industry,45.00,54.00,C,
Manufacturing,55.00,62.00,C,
Construction,50.00,57.00,C,
Trade_retail,68.00,74.00,C,Market town; smartphone heavy
Transport_logistics,62.00,67.00,C,Mobile-phone dependent
Services,72.00,77.00,C,
Government_services_teachers,88.00,90.00,C,Highest in AC
Out_migrant_worker,75.00,68.00,D,Working outside; smartphone heavy
Tea_garden_plantation,35.00,50.00,D,Tea-line estate worker; COVID digital adoption; above 2019 18%
