Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,48.00,68.00,C,+18pp smartphone surge from COVID; rural ag lower baseline but significant jump
Agricultural_labourer,38.00,58.00,C,Tea-plucking labour; COVID-era welfare payment apps drove adoption
Household_industry,55.00,70.00,C,
Manufacturing,62.00,77.00,C,
Construction,58.00,72.00,C,
Trade_retail,80.00,90.00,C,Alipurduar town traders; near-saturation
Transport_logistics,75.00,82.00,C,
Services,85.00,92.00,C,
Government_services_teachers,95.00,97.00,C,Highest; near-saturation
Out_migrant_worker,82.00,76.00,D,Working outside; smartphone-dependent for remittances; COVID-era adoption
