axis,category,pct,tier,source,is_subgroup
religion,Hindu,82.70,E,Census 2011 Falakata Block: Hindu 82%; 10-yr religion-differential growth (+0.5pp vs Muslim); projected to 2021,no
religion,Muslim,15.30,E,Census 2011 Falakata Block: Muslim 15.79%; slight relative decline vs Hindu growth over 10yr,no
religion,Christian,1.50,E,Tea garden belt pattern; Alipurduar-I block 2.54% Christian; Falakata lower; stable,no
religion,Sarna_ORP,0.40,E,Adivasi tribal religion fringe; stable,no
religion,Other_residual,0.10,E,Buddhist (Nepali fringe) + Sikh + Not_stated lumped; stable,no
caste,SC_total,40.70,A,Census 2011 Falakata Block: SC 40.7%; stable as no new caste census; used as 2021 anchor,no
caste,Rajbanshi_SC,26.00,C,Dominant SC in Dooars-Terai; ~64% of SC pool,yes
caste,Tea_garden_SC,8.00,D,"Chamar, Muchi, Hari and other SC communities in tea estates; ~20% of SC pool",yes
caste,Other_SC,6.70,E,Residual SC,yes
caste,ST_total,15.90,A,Census 2011 Falakata Block: ST 15.9%; stable,no
caste,Oraon_ST,7.00,D,Largest ST group in Dooars tea gardens,yes
caste,Munda_ST,3.50,D,Second major tea garden ST,yes
caste,Koch_ST,2.50,D,Koch community (categorised ST in WB),yes
caste,Other_ST,2.90,E,"Santali, Rava, Rabha, Toto and others",yes
caste,UC_bhadralok,5.00,E,Small bhadralok (Brahmin/Kayastha/Baidya) presence; concentrated in Falakata town,no
caste,OBC,4.00,E,"Teli, Sutradhar, other OBC; modest in tea-belt district",no
caste,Other_Hindu_middle,16.90,E,Residual within Hindu: 82.7% − 40.7% SC − 15.9% ST − 5% UC − 4% OBC = 17.1% adj to 16.9% for rounding,no
caste,Muslim,15.30,E,All sub-castes pooled; Bengali-Muslim peasantry,no
caste,Christian_plus_Sarna_plus_Other,2.00,E,Christian 1.50% + Sarna 0.40% + Other_residual 0.10%,no
age_cohort,18_22,13.00,E,First-time voter cohort (born 1999–2003); 10-yr projection from Alipurduar district Census 2011 age pyramid,no
age_cohort,23_27,12.50,E,,no
age_cohort,28_32,11.50,E,,no
age_cohort,33_37,11.00,E,,no
age_cohort,38_42,10.00,E,,no
age_cohort,43_47,9.00,E,,no
age_cohort,48_52,8.00,E,,no
age_cohort,53_57,7.00,E,,no
age_cohort,58_62,6.00,E,,no
age_cohort,63_67,5.00,E,,no
age_cohort,68,7.00,E,68+ open-ended; renormalized to 100,no
gender,Male,51.28,E,Sex ratio ~950 F per 1000 M → 1000/(1000+950) = 51.28% M,no
gender,Female,48.71,E,950/(1000+950),no
gender,Third_gender,0.01,E,Nominal; consistent with WB pattern,no
mother_tongue,Bengali,62.00,E,Dominant plains population; Rajbanshi community mostly Bengali-speaking; stable,no
