axis,category,pct,tier,source,is_subgroup
religion,Hindu,72.00,E,Alipurduar district 2011: ~74% Hindu; tribal Sarna-ORP split uncertain; tea-garden ST population partly Hindu partly Sarna,no
religion,Muslim,9.00,E,Alipurduar district 2011: ~9% Muslim; Jaigaon border area has Muslim traders,no
religion,Christian,2.50,E,Christian missionary presence in tribal belt; some tea garden workers converted,no
religion,Sarna_ORP,15.50,E,"Substantial Adivasi (Oraon, Munda, Santhali) tea-garden workers; tribal religion estimate",no
religion,Other_residual,1.00,E,"Buddhist (Bhutia/Nepali), Sikh, Jain, not-stated",no
caste,SC_total,8.00,E,Alipurduar district SC share ~7–9%; lower in tea-belt AC,no
caste,Rajbanshi_SC,4.00,E,Dominant SC sub-group in Dooars (Rajbanshi classified SC in WB),yes
caste,Other_SC,4.00,E,"Residual (Bagdi, Hari, Dome)",yes
caste,ST_total,35.00,E,"Very high tribal share: Oraon, Munda, Santhali, Kurmi tea-garden Adivasi; also Toto, Koch-Rajbanshi ST",no
caste,Oraon_ST,15.00,E,Largest ST sub-group in Dooars tea gardens; Jharkhand-origin,yes
caste,Munda_ST,8.00,E,Second Adivasi sub-group in tea estates,yes
caste,Santhali_ST,6.00,E,Present in tea belt and forest fringe,yes
caste,Other_ST,6.00,E,"Toto (endangered tribe near Totopara), Koch, Rajbanshi-ST, Bhutia",yes
caste,UC_bhadralok,4.00,E,"Small bhadralok fraction; tea-company managerial class, Bengali settlers",no
caste,OBC,8.00,E,"Rajbanshi (OBC), Kurmi, Teli, Chamar-OBC fraction",no
caste,Other_Hindu_middle,27.00,E,"Nepali/Gorkha Hindu (Bahun, Chhetri), Marwari trader, Bengali settled middle",no
caste,Muslim,9.00,E,See C.1,no
caste,Christian_plus_Sarna_plus_Other,9.00,E,Christian 2.5% + Sarna routed here; see note: Sarna_ORP in C.1 is the tribal-religion residual,no
age_cohort,18_22,12.00,E,"Alipurduar district age pyramid, Census 2011; renormalized to 18+ adults only",no
age_cohort,23_27,12.50,E,,no
age_cohort,28_32,11.50,E,,no
age_cohort,33_37,10.50,E,,no
age_cohort,38_42,10.00,E,,no
age_cohort,43_47,9.00,E,,no
age_cohort,48_52,8.00,E,,no
age_cohort,53_57,7.00,E,,no
age_cohort,58_62,6.50,E,,no
age_cohort,63_67,6.50,E,,no
age_cohort,68,6.50,E,68+ open-ended; renormalized from Census 2011 adult cohort,no
