Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,25.00,55.00,C,Rural North Bengal cultivator; lower than south WB
Agricultural_labourer,18.00,45.00,C,Tea-belt wage labour; lowest income
Household_industry,30.00,60.00,C,
Manufacturing,45.00,72.00,C,
Construction,40.00,65.00,C,
Trade_retail,60.00,82.00,C,Dhupguri town traders
Transport_logistics,55.00,78.00,C,NH-17 corridor
Services,65.00,85.00,C,
Government_services_teachers,80.00,92.00,C,Highest
Out_migrant_worker,62.00,72.00,D,Working outside; smartphone-heavy for remittance
