Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,42.00,63.00,C,COVID smartphone surge; rural cultivator catch-up
Agricultural_labourer,32.00,54.00,C,Lowest income; lowest smartphone; +12pp from 2019
Household_industry,48.00,68.00,C,Cottage industry; +13pp
Manufacturing,62.00,80.00,C,
Construction,55.00,71.00,C,
Trade_retail,78.00,87.00,C,Mainaguri town concentration
Transport_logistics,73.00,82.00,C,NH-27 corridor workers
Services,82.00,90.00,C,Private services
Government_services_teachers,92.00,96.00,C,Highest access
Out_migrant_worker,78.00,74.00,D,Working outside; smartphone-dependent for remittances; very high penetration
