axis,category,pct,tier,source,is_subgroup
religion,Hindu,90.00,A,"Maynaguri CDB 2011: 90.02%; 10-yr differential growth (Hindu ~1.1%/yr, Muslim ~1.3%/yr) → slight convergence; ~89.95% rounded to 90.00%",no
religion,Muslim,9.75,A,Maynaguri CDB 2011: 9.79%; slight relative gain vs 2019 as Muslim growth marginally faster; +0.2pp from 2019,no
religion,Christian,0.06,E,CDB 2011: 0.03%; continued small upward trend to 2021,no
religion,Sarna_ORP,0.10,E,Tribal religion; ST population 1.33% with fraction Sarna; stable,no
religion,Other_residual,0.09,E,"Sikh + Jain + Buddhist + Not_stated, lumped; slight compression",no
caste,SC_total,70.97,A,"Census 2011 Maynaguri Block: SC 239,342/337,251 = 70.97% — direct Census figure; stable to 2021",no
caste,Rajbanshi_SC,64.50,C,Rajbanshi dominant SC in northern Jalpaiguri; ~91% of SC pool; slight downward adjustment for inter-SC demographic mix,yes
caste,Other_SC,6.47,E,"Residual SC sub-castes (Namasudra, Bagdi, etc.)",yes
caste,ST_total,1.33,A,"Census 2011: ST 4,492/337,251 = 1.33% — direct Census figure; stable",no
caste,Other_ST,1.33,E,Small adivasi pockets; Boro/Rabha community traces,yes
caste,UC_bhadralok,3.00,E,Low bhadralok presence; SC-dominant AC; Brahmin/Kayastha/Baidya minimal; unchanged from 2019,no
caste,OBC,4.00,E,"OBC Hindus including Kurmi, Mahishya fringe; Jalpaiguri district pattern",no
caste,Other_Hindu_middle,10.70,E,Residual within Hindu (90.00 − 70.97 SC − 1.33 ST − 3.0 UC − 4.0 OBC = 10.70; residual Hindu middle),no
caste,Muslim,9.75,E,See C.1,no
caste,Christian_plus_Sarna_plus_Other,0.25,E,Sarna_ORP + Christian + Other_residual combined,no
age_cohort,18_22,11.20,E,Jalpaiguri district 2011 age pyramid; 2-yr shift of 2019 cohorts; renormalised to 18+ adults; NFHS-5 Jalpaiguri under-15 = 22.6%,no
age_cohort,23_27,11.50,E,,no
