axis,category,pct,tier,source,is_subgroup
religion,Hindu,83.20,E,2019 baseline 83.50%; minor differential growth adjustment 2019→2021; COVID-19 mortality slightly higher among older HH heads,no
religion,Muslim,12.10,E,2019 baseline 11.80%; +0.3pp relative gain over 2 yrs,no
religion,Christian,4.00,E,Stable; no significant change 2019→2021,no
religion,Sarna_ORP,0.30,E,Stable,no
religion,Other_residual,0.40,E,Stable; Buddhist + Sikh + Not_stated residual,no
caste,SC_total,49.79,A,wb_ac_master_v3.csv: sc_pct=49.79 for AC 017 (Census 2011 A),no
caste,Rajbanshi_SC,43.00,C,Rajbanshi (Koch-Rajbanshi) dominant SC in Jalpaiguri district; ~86% of SC pool,yes
caste,Other_SC,6.79,E,"Residual SC sub-groups (Bagdi, Hari, Bauri etc.)",yes
caste,ST_total,1.76,A,wb_ac_master_v3.csv: st_pct=1.76 (Census 2011 A); AC urban-heavy sharply reduces ST vs district 18.9%,no
caste,Koch_ST,0.80,C,Koch classified as ST in WB; distinct from Rajbanshi-SC despite shared heritage,yes
caste,Other_ST,0.96,E,"Oraon, Munda, other tribal fringe in rural GP portion",yes
caste,UC_bhadralok,7.00,E,Brahmin/Kayastha/Baidya; district-HQ bureaucrat/professional pool; stable 2019→2021,no
caste,OBC,5.00,E,"Teli, Mahishya, Sutradhar, Kurmi; moderate presence in Jalpaiguri town",no
caste,Other_Hindu_middle,24.45,E,Residual within Hindu (83.20 − 49.79 SC − 1.76 ST − 7 UC − 5 OBC),no
caste,Muslim,12.10,E,All sub-castes pooled; see C.1,no
caste,Christian_plus_Sarna_plus_Other,4.70,E,Christian 4.0 + Sarna_ORP 0.3 + Other_residual 0.4 + rounding,no
age_cohort,18_22,9.20,E,Renormalized from Jalpaiguri district Census 2011 age pyramid + 2-yr projection; COVID mortality concentrated in 60+ cohort,no
age_cohort,23_27,9.80,E,,no
age_cohort,28_32,10.10,E,,no
age_cohort,33_37,9.60,E,,no
age_cohort,38_42,9.00,E,,no
age_cohort,43_47,8.60,E,,no
age_cohort,48_52,8.20,E,,no
age_cohort,53_57,7.40,E,,no
age_cohort,58_62,6.70,E,,no
age_cohort,63_67,5.50,E,,no
