Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,28.00,58.00,C,Rural agricultural baseline; North Bengal lower than state
Agricultural_labourer,20.00,48.00,C,Tea-garden pluckers; low income; basic phone common but smartphone rare
Household_industry,32.00,62.00,C,
Manufacturing,45.00,75.00,C,
Construction,38.00,65.00,C,
Trade_retail,60.00,82.00,C,Town-based retailers; higher access
Transport_logistics,55.00,78.00,C,Trucker/driver belt on NH-27
Services,65.00,85.00,C,
Government_services_teachers,80.00,90.00,C,Highest access
Out_migrant_worker,60.00,70.00,D,Working outside; smartphone as communication tool
