axis,category,pct,tier,source,is_subgroup
religion,Hindu,71.50,E,Jalpaiguri district Census 2011 ~75% Hindu; 10-yr projection with religion-differential growth; tribal population partly captured under Sarna_ORP; slight relative Muslim gain,no
religion,Muslim,16.20,E,Jalpaiguri district 2011 ~16%; 10-yr projection +0.2pp gain; Rajganj block eastern GP Muslim pockets,no
religion,Christian,3.50,E,Tea-belt Christian presence (missionary-origin); stable from 2019,no
religion,Sarna_ORP,6.80,E,Oraon/Munda/Ho/Santhali tribal population in tea garden belt; slight upward revision based on Jalpaiguri district 2011 tribal share,no
religion,Other_residual,2.00,E,Sikh + Buddhist + Jain + Not-stated; Jalpaiguri town fringe; stable,no
caste,SC_total,26.00,E,Jalpaiguri district Census 2011 SC ~23-26%; Rajganj block Rajbanshi-dominated rural GPs; stable,no
caste,Rajbanshi_SC,20.00,E,Dominant SC community in North Bengal; Koch-Rajbanshi belt,yes
caste,Other_SC,6.00,E,"Residual SC communities (Namasudra, Hadi, Bauri etc.)",yes
caste,ST_total,14.00,E,Jalpaiguri district ST ~17%; tea-garden Oraon/Munda/Ho; Rajganj block lower than district average; stable,no
caste,Oraon_ST,8.00,E,Dominant ST in Jalpaiguri tea belt; Oraon (Kurukh-speaking) tea garden workers,yes
caste,Other_ST,6.00,E,"Munda, Ho, Santhali, Bhumij in tea gardens",yes
caste,UC_bhadralok,7.00,E,Brahmin/Kayastha/Baidya; concentrated in Rajganj town and educated services,no
caste,OBC,10.00,E,"Koch (non-SC), Teli, Sutradhar, Kurmi (non-ST), Mahishya fringe",no
caste,Other_Hindu_middle,14.50,E,Residual Hindu middle castes not classified SC/ST/UC/OBC; adjusted for 10-yr projection,no
caste,Muslim,16.20,E,See C.1; largely Bengali-speaking Muslim peasantry,no
caste,Christian_plus_Sarna_plus_Other,12.30,E,Christian (tea-belt) + Sarna_ORP (tribal religion) + Other_residual; see C.1,no
age_cohort,18_22,12.50,E,First-time voter cohort (born 1999–2003); 10-yr projection from Jalpaiguri district Census 2011 age pyramid,no
age_cohort,23_27,13.00,E,,no
age_cohort,28_32,12.00,E,,no
age_cohort,33_37,11.00,E,,no
age_cohort,38_42,10.00,E,,no
age_cohort,43_47,9.50,E,,no
age_cohort,48_52,8.50,E,,no
age_cohort,53_57,7.00,E,,no
age_cohort,58_62,6.00,E,,no
age_cohort,63_67,5.50,E,,no
age_cohort,68,5.00,E,68+ open-ended; renormalized from Census 2011 age distribution excluding 0-17,no
