Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,35.00,55.00,E,Rural smallholder; post-COVID smartphone surge +13pp from 2019
Agricultural_labourer,28.00,46.00,E,Lowest income; but significant uptake from cheap data plans
Household_industry,38.00,56.00,E,
Manufacturing,52.00,65.00,E,
Construction,50.00,63.00,E,
Trade_retail,75.00,83.00,E,Mal Municipality hub
Transport_logistics,65.00,75.00,E,
Services,76.00,80.00,E,
Government_services_teachers,90.00,92.00,E,Highest access
Out_migrant_worker,78.00,74.00,D,Working outside; smartphone-reliant for remittances; strong uptake
