axis,category,pct,tier,source,is_subgroup
religion,Hindu,71.50,E,"Jalpaiguri district 82.4% Hindu (Census 2011 A); Mal CDB high ST population (32%) many practising Sarna/ORP not classified Hindu; 10-yr religion-differential growth nudges Muslim share +0.3pp, Sarna share stable; AC-level adjusted estimate",no
religion,Muslim,10.30,E,2019 baseline 10.0%; +0.3pp for 2-yr differential growth,no
religion,Christian,5.10,E,Stable from 2019; some Adivasi conversion in tea-garden areas continuing,no
religion,Sarna_ORP,12.10,E,Stable; Oraon/Munda/Santali practising Sarna/ORP; 2021 Census code 13 recognised,no
religion,Other_residual,1.00,E,Buddhist + Sikh + Not_stated residual,no
caste,SC_total,26.05,A,Wikipedia Mal Assembly constituency: 26.05% SC; stable from Delimitation 2008 base,no
caste,Rajbanshi_SC,14.00,E,Dominant SC sub-group in Jalpaiguri district; ~54% of SC pool,yes
caste,Other_SC,12.05,E,"Residual SC (Bauris, Hari, etc.)",yes
caste,ST_total,32.09,A,Wikipedia Mal Assembly constituency: 32.09% ST; reservation status confirms,no
caste,Oraon_ST,14.35,C,44.71% of Mal block ST per academic study on Jalpaiguri tribal economy,yes
caste,Munda_ST,6.42,C,~20% of ST pool per tribal distribution studies,yes
caste,Santali_ST,8.02,C,~25% of ST pool,yes
caste,Other_ST,3.30,E,Residual tribal groups,yes
caste,UC_bhadralok,4.00,E,Small bhadralok (Brahmin/Kayastha/Baidya) presence in municipality and administrative core,no
caste,OBC,6.00,E,"Koch-Rajbongshi OBC, Teli, Kurmi non-SC fringe",no
caste,Other_Hindu_middle,18.86,E,"Residual Hindu middle: Goala, Sutradhar, Bengali middle castes, tea-garden non-tribal semi-permanent labour",no
caste,Muslim,10.30,E,See C.1; primarily Bengali Muslim and some Rajbongshi-Muslim,no
caste,Christian_plus_Sarna_plus_Other,2.70,E,Sarna subsumed in ST_total; residual Christian pool outside ST; adjusted -0.3 for Muslim growth,no
age_cohort,18_22,11.20,E,Jalpaiguri district age pyramid Census 2011; 10-yr projection to 2021; renormalized to 18+ adults only; 2-yr cohort shift from 2019 baseline,no
age_cohort,23_27,11.80,E,Cohort shifted from 2019,no
age_cohort,28_32,11.20,E,,no
age_cohort,33_37,10.30,E,,no
age_cohort,38_42,9.50,E,,no
age_cohort,43_47,8.50,E,,no
age_cohort,48_52,8.20,E,,no
age_cohort,53_57,7.30,E,,no
age_cohort,58_62,6.30,E,,no
age_cohort,63_67,8.20,E,Slight uplift in 63+ open bucket; tea-garden pension cohort,no
age_cohort,68,7.50,E,68+ open-ended; slight increase as 2011 older cohort ages in,no
