axis,category,pct,tier,source,is_subgroup
religion,Hindu,68.50,E,Kalimpong district/sub-division Census 2011: ~68–70% Hindu; 2019 projection stable,no
religion,Muslim,4.80,E,Census 2011 Kalimpong sub-division ~4.5%; slight growth projection,no
religion,Christian,14.20,E,Census 2011 Kalimpong sub-division ~13–15%; substantial Nepali Christian community,no
religion,Sarna_ORP,2.50,E,Lepcha tribal religion + small Limboo traditional practice,no
religion,Other_residual,10.00,E,Buddhist (Bhutia/Tibetan community ~8%) + Sikh + Not_stated,no
caste,SC_total,5.50,E,Census 2011 Kalimpong sub-division; lower SC than plains ACs,no
caste,Chamar_SC,1.50,E,Small plains migrant SC sub-community,yes
caste,Other_SC,4.00,E,Residual SC groups,yes
caste,ST_total,13.20,A,"Census 2011 Kalimpong sub-division: Lepcha, Bhutia, Limboo classified as ST",no
caste,Lepcha_ST,5.50,C,Dominant ST in Kalimpong hills; Census 2011,yes
caste,Bhutia_ST,4.20,C,Buddhist community; includes Tibetan-origin,yes
caste,Limboo_ST,3.50,C,Gorkha sub-community with ST status,yes
caste,UC_bhadralok,3.50,E,Small Brahmin/Kayastha/Baidya hill presence; Bengali professional migrants,no
caste,OBC,12.00,E,"Includes Gurung, Tamang, Rai, Magar sub-communities (OBC in WB hill schedule)",no
caste,Other_Hindu_middle,51.30,E,"Predominantly Nepali-origin Gorkha: Chhettri, Thakuri, Pradhan, Chettri + un-classified",no
caste,Muslim,4.80,E,See C.1; largely Urdu-medium plains-origin or Bengali Muslim,no
caste,Christian_plus_Sarna_plus_Other,9.70,E,Christian 14.2% − (within UC) + Sarna 2.5% + Other residual; normalised to parent-row,no
age_cohort,18_22,11.50,E,Kalimpong district age pyramid Census 2011; renormalised excluding 0–17,no
age_cohort,23_27,12.00,E,,no
age_cohort,28_32,11.00,E,,no
age_cohort,33_37,10.00,E,,no
age_cohort,38_42,9.50,E,,no
age_cohort,43_47,9.00,E,,no
age_cohort,48_52,8.00,E,,no
age_cohort,53_57,7.00,E,,no
age_cohort,58_62,6.00,E,,no
age_cohort,63_67,4.00,E,,no
age_cohort,68,12.00,E,68+ open-ended; includes elderly hill residents; renormalize verified,no
gender,Male,50.51,E,Kalimpong district sex ratio ~976 F/1000 M → ~50.5% M,no
gender,Female,49.48,E,,no
gender,Third_gender,0.01,E,2021 SIR back-projection,no
mother_tongue,Bengali,3.50,E,"Small Bengali-speaking community (urban professional migrants, some Muslim)",no
mother_tongue,Hindi,2.00,E,Marwari/Bihari trader community in Kalimpong town,no
mother_tongue,Urdu,1.00,E,Muslim minority; mostly bilingual with Nepali,no
mother_tongue,Other,0.50,E,"Residual (Tibetan, Sikkimese, English-dominant)",no
mother_tongue,Nepali,75.00,E,Dominant; Census 2011 Kalimpong ~73–76% Nepali mother tongue,no
mother_tongue,Lepcha,5.50,E,Indigenous ST language; Kalimpong sub-division Census 2011,no
mother_tongue,Bhutia,4.50,E,Bhutia/Sikkimese; includes Tibetan speakers lumped,no
mother_tongue,Limboo,4.00,E,ST language; Census 2011 Kalimpong sub-division,no
mother_tongue,Tamang,4.00,E,OBC community; Tamang language speakers,no
education,Illiterate,14.00,E,Kalimpong district literacy ~84% (2011 A); 2019 trend +2pp → ~14% illiterate,no
education,Primary,18.00,E,Census 2011 education distribution; Kalimpong district,no
education,Middle,20.00,E,,no
education,Secondary,20.00,E,,no
education,Higher_Secondary,13.00,E,,no
education,Graduate,11.00,E,Kalimpong has several degree colleges; hill education investment,no
education,Postgraduate,4.00,E,,no
workforce_status,Main_worker,36.00,E,Census 2011 Kalimpong sub-division main-worker share ~35–37%,no
workforce_status,Marginal_worker,8.00,E,"Seasonal hill agriculture, tourism",no
workforce_status,Non_worker,34.00,E,"Includes housewife, elderly, retired — lower than plains",no
workforce_status,Student,12.00,E,Hill areas invest heavily in education; boarding schools,no
workforce_status,Unemployed,10.00,E,Educated youth unemployment; hill job scarcity; GJM agitation disruptions pre-2019,no
occupation,Cultivator,20.00,E,"Census 2011 Kalimpong sub-division cultivator share; cardamom, tea, ginger",no
occupation,Agricultural_labourer,8.00,E,Lower than plains; hill labour patterns,no
occupation,Household_industry,5.00,E,"Weaving, handicrafts, incense",no
occupation,Manufacturing,3.00,E,Limited; small agro-processing units,no
occupation,Construction,8.00,E,Hill road/building construction; GTHA period activity,no
occupation,Trade_retail,14.00,E,"Kalimpong Muni market hub; tourist goods, Tibetan trade",no
occupation,Transport_logistics,8.00,E,Hill taxi/jeep services; Army supply chain,no
occupation,Services,14.00,E,"Tourism, hospitality, private sector",no
occupation,Government_services_teachers,15.00,E,Higher govt employment share in hill areas,no
occupation,Out_migrant_worker,5.00,D,"Gorkha men in Indian Army, paramilitary; domestic workers to metros",no
class_of_worker,Employer,3.00,E,Small tourist-economy business owners,no
class_of_worker,Employee,40.00,E,"Govt, army, hotels, schools; higher employee share than plains agriculture ACs",no
class_of_worker,Single_worker,40.00,E,"Own-account: cultivators, small traders, taxi operators",no
class_of_worker,Family_worker,17.00,E,Unpaid family farm/handicraft helpers,no
economic_status,BPL_household,20.00,C,Kalimpong sub-division BPL ~22% (2001); WB hill-area poverty decline ~2pp 2011-19 → ~20%,no
economic_status,Above_Poverty_Line_low_income,35.00,E,,no
economic_status,Lower_middle,28.00,E,,no
economic_status,Middle,13.00,E,Army/govt salary class; tourism economy,no
economic_status,Upper_middle_well_off,4.00,E,"Kalimpong Muni affluent traders, orchid exporters",no
gp_location,U1_Kalimpong_Municipality,38.00,E,"Kalimpong Muni 2011 pop ~42,900 / AC total ~112,000 ≈ 38%; projected stable",no
gp_location,U2_Kalimpong_rural_hills,62.00,E,CDB-I + CDB-II GPs; v0 collapses to single rural cell,no
household_composition,Avg_HH_size,4.1 persons,E,WB hill districts Census 2011: 4.0–4.2; nuclear-skewed,no
household_composition,Nuclear_HH,72.00,E,Hill Nepali/Gorkha households: higher nuclear proportion,no
household_composition,Joint_HH,22.00,E,,no
household_composition,Extended_multi_generation,6.00,E,,no
marital_status,Never_married,30.00,E,Large student cohort + out-migrant young men,no
marital_status,Currently_married,61.00,E,Census 2011 Kalimpong district pattern,no
marital_status,Widowed,8.00,E,"Slightly elevated; army widows, elderly",no
marital_status,Separated_divorced,1.00,E,,no
asset_media,Television,72.00,C,NFHS-4 WB hill-region estimate; lower than plains urban; 2019 projection,no
asset_media,Radio,8.00,C,Hill areas: higher radio dependency for emergency/weather,no
asset_media,Mobile_phone,85.00,C,NFHS-4 WB + Jio rollout; hill connectivity improved 2016-19,no
asset_media,Smartphone_with_internet,45.00,C,Hill internet slower to penetrate; lower than plains average,no
asset_media,Computer,10.00,C,School+govt employee households,no
