Caste sub-group,% of Hindu,Tier,Source
SC: Bagdi / Bauri,15.9,E,9.0% of total / 56.5% Hindu ≈ 15.9% of Hindu
SC: Rajbanshi,3.5,E,2.0% of total / 56.5%
SC: Dom / Chamar / Mochi,4.4,E,2.5% / 56.5%
"SC: Other (Pod, Poundra, Hari)",10.6,E,6.0% / 56.5%
ST,3.9,E,2.2% / 56.5%
UC bhadralok (Brahmin/Kayastha/Baidya),9.7,E,5.5% / 56.5% — higher in urban Muni
OBC Hindu (Teli/Goala/Sutradhar/Sadgop),14.2,E,8.0% / 56.5%
"Jain (religious minority, included in Hindu-voting bloc in some analyses)",1.6,D,0.9% / 56.5%; Jain families often vote alongside Hindu upper-caste bloc
"Other Hindu middle (Kayeth, Napit, Koiborto, unclassified General)",19.1,E,10.8% / 56.5%
Kumbhakar / Subarnabanik / Tanti (Hindu weaver-related),17.1,E,Residual to sum to 100 within Hindu
