Caste,BJP,AITC,INC,CPI(M),Other+NOTA,Tier,Source
UC bhadralok,62,22,10,4,2,C,CSDS 2019 WB bhadralok BJP-leaning; upward-adjusted to match D.15 Hindu 62% BJP
Jain merchant,45,28,15,5,7,E,Consistent with D.15 Jain row
OBC Hindu,58,25,11,4,2,C,CSDS 2019 OBC BJP-leaning in 2019; Murshidabad context
Hindu middle,62,24,10,2,2,E,Anchored to D.15 Hindu 62% BJP weighted
Bagdi/Bauri SC,60,28,8,3,1,E,SC Hindu BJP-leaning in 2019; no Matua dynamic; Bagdi consolidating behind BJP
Other SC,55,32,8,4,1,E,
ST,40,35,12,10,3,C,ST more left-leaning; CSDS pattern
Muslim Ansari (weaver),3,50,36,8,3,D,Weaver Muslim: INC-sympathetic historically + TMC welfare; split between AITC and INC
Muslim Sheikh,3,54,30,10,3,D,TMC leads Muslim Sheikh in Murshidabad LS context
Muslim ashraf,4,48,32,12,4,E,
