Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,38.0,65.0,C,Post-COVID smartphone surge among cultivators; +10pp vs 2019
Agricultural_labourer,28.0,55.0,C,
Household_industry,42.0,68.0,C,Weaving HH; Jio penetration in peri-urban
Manufacturing,55.0,80.0,C,
Construction,52.0,75.0,C,
Trade_retail,75.0,90.0,C,Urban commercial class; near-saturation
Transport_logistics,65.0,82.0,C,
Services,78.0,92.0,C,
Government_services_teachers,88.0,96.0,C,
Out_migrant_worker,72.0,78.0,D,Working outside; smartphone-heavy for remittance/comms
