axis,category,pct,tier,source,is_subgroup
religion,Hindu,71.70,A/E,2021 baseline 72.20%; 3-yr differential growth (-0.50pp); CDB-I/CDB-II 2011 weighted; 13-yr projection from 2011,no
religion,Muslim,27.87,A/E,2021 baseline 27.37%; +0.50pp over 3 yrs; differential Muslim growth +1.3%/yr vs Hindu +1.0%/yr,no
religion,Christian,0.25,A,Stable; small base,no
religion,Sarna_ORP,0.10,E,Stable,no
religion,Other_residual,0.08,E,Residual,no
caste,SC_total,37.36,A,Census 2011; stable,no
caste,Bagdi,18.0,D,Dominant SC fishing/labouring caste,yes
caste,Namasudra,10.0,D,Present in both CDBs,yes
caste,Other_SC,9.36,E,Residual SC,yes
caste,ST_total,24.78,A,Census 2011; stable,no
caste,Santhal,15.0,D,Dominant ST group,yes
caste,Munda,5.0,D,Second major ST group,yes
caste,Oraon_Bhumij_Other_ST,4.78,E,Residual ST,yes
caste,UC_bhadralok,3.0,E,Minimal in this rural delta AC,no
caste,OBC,5.0,E,Some Mahishya fishing presence,no
caste,Other_Hindu_middle,1.69,E,Residual: 100 − 37.36 − 24.78 − 3.0 − 5.0 − 27.87 − 0.43 = 1.56; see note,no
caste,Muslim,27.87,E,See C.1,no
caste,Christian_plus_Sarna_plus_Other,0.43,E,C.1 residuals,no
age_cohort,18_22,11.0,E,New voters 2021-24 cohort entry,no
age_cohort,23_27,11.5,E,,no
age_cohort,28_32,11.5,E,,no
age_cohort,33_37,10.5,E,,no
age_cohort,38_42,10.0,E,,no
age_cohort,43_47,9.0,E,,no
age_cohort,48_52,8.0,E,,no
age_cohort,53_57,7.0,E,,no
age_cohort,58_62,6.5,E,,no
age_cohort,63_67,8.0,E,,no
age_cohort,68,7.0,E,,no
gender,Male,50.89,A/E,Sex ratio 965 → 1000/(1000+965) = 50.89% M,no
gender,Female,49.10,A/E,965/(1000+965) = 49.10% F,no
gender,Third_gender,0.01,E,National pattern,no
mother_tongue,Bengali,97.60,A,Stable from 2021; Bengali dominance in rural delta,no
mother_tongue,Hindi,0.10,E,Minimal,no
mother_tongue,Urdu,0.22,E,Marginal increase with Muslim population growth,no
mother_tongue,Other,0.08,E,Residual,no
mother_tongue,Sadri,1.50,A,CDB-I 2.03% Sadri (Census 2011 A); stable,no
mother_tongue,Santali,0.50,E,Slight increase in retention as Santali language media grows,no
education,Illiterate,21.0,E,10yr trend from 2011 ~29% illiterate; +0.5pp/yr improvement → ~22%; slight offset from COVID school closures 2020-21,no
education,Primary,24.0,E,,no
education,Middle,21.5,E,,no
education,Secondary,15.0,E,,no
education,Higher_Secondary,10.0,E,,no
