Occupation,Smartphone_with_internet,Television,Four_wheeler,Tier,Source
Trade_retail,95.0,98.0,25.0,C,Business community: very high; WFH/digital commerce surge
Government_services_teachers,92.0,97.0,18.0,C,Bhadralok service class; WFH adoption
Services,93.0,97.0,22.0,C,Urban professional; remote work surge
Transport_logistics,70.0,89.0,5.0,C,Auto/taxi; digital payment adoption
Manufacturing,65.0,88.0,8.0,C,
Construction,45.0,75.0,0.0,C,Migrant construction workers; less but growing
Domestic_worker,42.0,62.0,0.0,C,Lowest stratum; COVID pushed digital slightly
Student,90.0,95.0,12.0,C,Urban youth: remote education drove near-saturation
Household_industry,68.0,90.0,2.0,C,Home-based industry; COVID digital adoption
Petty_vendor,72.0,92.0,3.0,C,UPI/digital payments diffused to street vendors
