Caste,BJP,AITC,INC,LF,Other_NOTA,Tier,Source
UC_bhadralok,58.0,28.0,3.0,7.0,4.0,C,Bhadralok BJP mobilization peaked in 2021; Dasgupta resonated with educated class
OBC,50.0,38.0,1.0,8.0,3.0,D,Mahishya+Sadgop: Dasgupta appealed to cultivating-caste BJP bloc; slightly above 2019 BJP level due to farm-issue + CAA
└ Mahishya,52.0,36.0,1.0,8.0,3.0,D,Load-bearing cell; Mahishya BJP peak in 2021; Hooghly Mahishya BJP plurality
└ Sadgop,44.0,42.0,1.5,9.0,3.5,D,More TMC-leaning; local networks held
└ Kurmi,40.0,46.0,2.0,9.5,2.5,D,OBC-A welfare loyal; scheme exposure held TMC
└ Tili_other_OBC,38.0,48.0,2.0,9.0,3.0,D,Temple-economy traders
SC_total,40.0,46.0,2.0,9.5,2.5,C,SC BJP vote slightly elevated vs 2019; Matua-adjacent NRC/CAA concern lower here than N24P
└ Bagdi_SC,40.0,47.0,2.0,9.0,2.0,C,CSDS WB 2021 SC pattern
└ Bauri_SC,37.0,49.0,2.0,9.5,2.5,C,
└ Namasudra_SC,48.0,38.0,2.0,9.5,2.5,C,Namasudra BJP lean slightly above other SC; NRC/CAA less salient but present
ST_total,37.0,42.0,1.0,17.0,3.0,C,ST retains Left residual; Dhaniakhali Santal bloc
Muslim,3.0,84.0,2.0,8.5,2.5,C,Same as D.15
