Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,65.0,78.0,C,2024: Krishak Bandhu online + PM Kisan app; significant smartphone adoption
Agricultural_labourer,50.0,68.0,C,2024: WhatsApp groups for daily labor markets; significant adoption vs 2021
Household_industry,65.0,78.0,C,
Manufacturing,75.0,87.0,C,
Construction,72.0,82.0,C,
Trade_retail,88.0,93.0,C,Temple-economy traders; near-saturation
Transport_logistics,82.0,87.0,C,
Services,92.0,95.0,C,Kolkata commuter; near-saturation
Government_services_teachers,95.0,97.0,C,
Out_migrant_worker,92.0,90.0,C,
