axis,category,pct,tier,source,is_subgroup
religion,Hindu,73.30,A/E,Census 2011 block aggregate (Hindu 73.97%); 10-yr religion-differential growth → Hindu share falls ~0.7pp by 2021,no
religion,Muslim,26.55,A/E,Census 2011 block aggregate (Muslim 25.89%); share rises ~0.7pp by 2021 consistent with Purba Medinipur Muslim growth trend,no
religion,Christian,0.05,E,Census 2011 other; small fringe,no
religion,Sarna_ORP,0.00,A,Negligible ST presence in these blocks,no
religion,Other_residual,0.10,E,Residual including not-stated,no
caste,SC_total,16.40,A/E,Census 2011 block aggregate 16.46%; projected stable over 10 yr,no
caste,Bagdi_SC,8.0,E,Dominant SC in coastal Medinipur; ~48% of SC pool,yes
caste,Namasudra_SC,3.5,E,Secondary SC in Purba Medinipur; ~21% of SC pool,yes
caste,Bauri_SC,2.0,E,~12% of SC pool,yes
caste,Other_SC,2.9,E,Residual SC sub-groups; ~18% of SC pool,yes
caste,ST_total,0.10,A,Census 2011 aggregate 0.10%; negligible ST presence,no
caste,UC_bhadralok,5.00,E,Brahmin/Kayastha; concentrated in Nandigram census town,no
caste,OBC,3.00,E,Tili/Teli and other OBC; coastal Medinipur,no
caste,Other_Hindu_middle,48.95,E,Includes Mahishya (~27% total) + other Hindu middle castes; residual after SC+ST+UC+OBC+Muslim+Christian,no
caste,Muslim,26.55,A/E,See C.1,no
caste,Christian_plus_Sarna_plus_Other,0.00,E,Negligible,no
age_cohort,18_22,11.0,E,New voter cohort (born 1999-2003); renormalized from Census 2011 age pyramid for 18+ adults only,no
age_cohort,23_27,11.5,E,,no
age_cohort,28_32,11.0,E,,no
age_cohort,33_37,10.5,E,,no
age_cohort,38_42,9.5,E,,no
age_cohort,43_47,8.5,E,,no
age_cohort,48_52,7.5,E,,no
age_cohort,53_57,7.0,E,,no
age_cohort,58_62,6.5,E,,no
age_cohort,63_67,9.5,E,Older cohorts larger as children share decreases in 18+ renorm,no
age_cohort,68,7.5,E,,no
gender,Male,51.35,A/E,Census 2011 block aggregate 51.40%; marginal change,no
gender,Female,48.64,A/E,Corresponding female share,no
gender,Third_gender,0.01,E,National standard estimate,no
mother_tongue,Bengali,99.94,A,Nandigram I+II blocks essentially monolingual Bengali (Census 2011: 99.95%); stable,no
mother_tongue,Hindi,0.03,E,Haldia industrial fringe labour; minimal,no
mother_tongue,Urdu,0.02,E,Negligible in coastal block context,no
mother_tongue,Other,0.01,E,Residual,no
education,Illiterate,10.5,A/E,"Census 2011 literacy 86.50%; projected +0.8pp/yr → ~94.5% literate by 2021 among 7+; ~10.5% illiterate (conservative, includes older cohorts)",no
education,Primary,21.0,E,Purba Medinipur district pattern; primary-educated rural majority,no
education,Middle,22.0,E,,no
education,Secondary,20.0,E,,no
education,Higher_Secondary,13.0,E,Growing with improved school access,no
education,Graduate,10.0,E,Modest improvement from 2019 baseline,no
education,Postgraduate,3.5,E,Slight increase with COVID-era online education,no
workforce_status,Main_worker,32.5,A/E,Census 2011 block weighted 33%; slight decline due to COVID-19 disruption (2020),no
workforce_status,Marginal_worker,8.5,E,WB rural pattern; slight increase from COVID-era informal sector disruption,no
workforce_status,Non_worker,36.5,E,"Housewives, elderly; stable",no
workforce_status,Student,12.0,E,Stable; some COVID disruption to 2020-21 schooling cohort,no
workforce_status,Unemployed,10.5,E,Elevated; COVID-19 shock 2020 added ~1pp to educated unemployed seeking,no
occupation,Cultivator,15.50,A/E,Census 2011 weighted 16.19%; slight shift away from cultivation,no
occupation,Agricultural_labourer,45.50,A/E,Dominant occupation; Census 2011 block weighted 46.43%; small decrease as some diversify,no
occupation,Household_industry,3.70,A,Census 2011 weighted 3.68%; stable,no
occupation,Manufacturing,4.00,E,Haldia industrial belt fringe; stable,no
occupation,Construction,5.50,E,Slight increase from COVID-era return migrants in construction,no
occupation,Trade_retail,8.00,E,Local market trade; stable,no
occupation,Transport_logistics,6.00,E,Coastal fishing and river transport; stable,no
occupation,Services,7.30,E,Growing private services; some COVID disruption,no
occupation,Government_services_teachers,4.00,E,Stable,no
occupation,Out_migrant_worker,0.50,E,Returned to home-block during COVID lockdown; small fraction,no
