Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,62,79,C,UPI + agricultural price-check apps widespread by 2024
Agricultural_labourer,50,70,C,Low income but smartphone access high post-Jio
Household_industry,65,81,C,
Manufacturing,80,90,C,Haldia fringe: higher income
Construction,75,83,C,
Trade_retail,86,92,C,Smartphone essential for trade by 2024
Transport_logistics,78,85,C,WhatsApp groups for fishing/cargo communication
Services,90,94,C,
Government_services_teachers,95,97,C,
Out_migrant_worker,95,88,C,Out-migrants essentially all smartphone-connected
