cid,constituency,district,sno,candidate,party,criminal_cases,education,age,assets,liabilities
1,MEKLIGANJ (SC),COOCHBEHAR,1,Adhikary Paresh Chandra Winner,AITC,0,12th Pass,68,"Rs 2,83,27,987 ~ 2 Crore+","Rs 38,77,281 ~ 38 Lacs+"
100,HABRA,NORTH 24 PARGANAS,3,Jyoti Priya Mallick Winner,AITC,0,Graduate Professional,63,,
101,ASHOKNAGAR,NORTH 24 PARGANAS,4,Narayan Goswami Winner,AITC,3,Graduate,51,"Rs 1,60,27,069 ~ 1 Crore+","Rs 20,22,964 ~ 20 Lacs+"
102,AMDANGA,NORTH 24 PARGANAS,6,Rafiqur Rahaman Winner,AITC,1,Graduate,60,,
103,BIJPUR,NORTH 24 PARGANAS,5,Subodh Adhikary Winner,AITC,5,Graduate,45,"Rs 8,31,22,223 ~ 8 Crore+","Rs 3,08,12,809 ~ 3 Crore+"
104,NAIHATI,NORTH 24 PARGANAS,4,Partha Bhowmick Winner,AITC,1,Post Graduate,57,"Rs 2,59,54,078 ~ 2 Crore+","Rs 63,56,074 ~ 63 Lacs+"
105,BHATPARA,NORTH 24 PARGANAS,6,Pawan Kumar Singh Winner,BJP,12,Graduate,33,,
106,JAGATDAL,NORTH 24 PARGANAS,9,Somenath Shyam Ichini Winner,AITC,6,Graduate,50,,
107,NOAPARA,NORTH 24 PARGANAS,3,Manju Basu Winner,AITC,0,Graduate Professional,68,,
109,BARRACKPUR,NORTH 24 PARGANAS,4,Raju Chakraborty (Raj) Winner,AITC,0,12th Pass,46,"Rs 13,30,02,383 ~ 13 Crore+","Rs 2,16,75,488 ~ 2 Crore+"
11,DHUPGURI (SC),JALPAIGURI,2,Bishnu Pada Ray Winner,BJP,1,10th Pass,58,"Rs 1,56,02,876 ~ 1 Crore+",Rs 0 ~
110,KHARDAHA,NORTH 24 PARGANAS,3,Kajal Sinha Winner,AITC,1,12th Pass,59,,
111,DUM DUM UTTAR,NORTH 24 PARGANAS,1,Chandrima Bhattacharya Winner,AITC,0,Graduate Professional,66,"Rs 60,88,968 ~ 60 Lacs+",Rs 0 ~
112,PANIHATI,NORTH 24 PARGANAS,4,Nirmal Ghosh Winner,AITC,0,Graduate,72,"Rs 1,12,94,893 ~ 1 Crore+",Rs 0 ~
113,KAMARHATI,NORTH 24 PARGANAS,5,Madan Mitra Winner,AITC,6,Graduate,66,"Rs 2,76,19,847 ~ 2 Crore+","Rs 16,63,237 ~ 16 Lacs+"
114,BARANAGAR,NORTH 24 PARGANAS,6,Tapas Roy Winner,AITC,0,Graduate Professional,65,,
115,DUM DUM,NORTH 24 PARGANAS,2,Brtyabrata Basu Winner,AITC,0,Post Graduate,52,"Rs 3,08,04,856 ~ 3 Crore+",Rs 0 ~
