constituency_id,constituency_name,district,sno,candidate,party,criminal_cases,education,age,total_assets,liabilities
1,MEKLIGANJ (SC),COOCHBEHAR,1,Adhikary Paresh Chandra,AITC,1,10th Pass,74,"Rs 4,36,50,807 ~ 4 Crore+","Rs 29,09,249 ~ 29 Lacs+"
1,MEKLIGANJ (SC),COOCHBEHAR,2,Dadhiram Ray,BJP,16,12th Pass,43,"Rs 63,37,495 ~ 63 Lacs+","Rs 2,43,406 ~ 2 Lacs+"
1,MEKLIGANJ (SC),COOCHBEHAR,3,Golapi Roy,IND,0,5th Pass,39,,
1,MEKLIGANJ (SC),COOCHBEHAR,4,Hiranmay Deb Singha,IND,1,10th Pass,33,"Rs 8,27,100 ~ 8 Lacs+",Rs 0 ~
1,MEKLIGANJ (SC),COOCHBEHAR,5,Hiten Barman,SUCI(C),0,Graduate,57,"Rs 10,21,356 ~ 10 Lacs+",Rs 0 ~
1,MEKLIGANJ (SC),COOCHBEHAR,6,Ila Rani Roy,INC,0,10th Pass,55,,
1,MEKLIGANJ (SC),COOCHBEHAR,7,Kamal Kumar Roy,All India Forward Bloc,0,Graduate,61,"Rs 64,30,576 ~ 64 Lacs+","Rs 3,00,000 ~ 3 Lacs+"
1,MEKLIGANJ (SC),COOCHBEHAR,8,Kirttiram Barman,IND,1,10th Pass,33,"Rs 8,68,000 ~ 8 Lacs+",Rs 0 ~
1,MEKLIGANJ (SC),COOCHBEHAR,10,Manoj Kumar Ray,IND,0,Graduate,35,"Rs 40,627 ~ 40 Thou+",Rs 0 ~
1,MEKLIGANJ (SC),COOCHBEHAR,11,Purnendu Roy,IND,0,10th Pass,48,"Rs 74,85,900 ~ 74 Lacs+","Rs 75,000 ~ 75 Thou+"
10,KUMARGRAM (ST),ALIPURDUAR,1,Abkari Kujur,IND,0,8th Pass,57,"Rs 27,76,562 ~ 27 Lacs+",Rs 0 ~
10,KUMARGRAM (ST),ALIPURDUAR,2,Amit Chompramari,IND,0,12th Pass,34,"Rs 6,58,298 ~ 6 Lacs+",Rs 0 ~
10,KUMARGRAM (ST),ALIPURDUAR,3,Bikash Oraon,IND,0,10th Pass,28,,
10,KUMARGRAM (ST),ALIPURDUAR,4,Kishor Minj,Revolutionary Socialist Party,0,Graduate Professional,42,"Rs 4,88,841 ~ 4 Lacs+",Rs 0 ~
