ac_no,ac_name,villages_mapped,total_population,total_males,total_females,sc_pop,st_pop,literates,total_workers,agri_labourers,cultivators,household_industry_workers,other_workers,no_households,non_workers
1,MEKLIGANJ (SC),136,224233,114959,109274,149823,2044,134578,89711,23829,34506,991,11521,52998,134522
2,MATHABHANGA (SC),112,326832,168148,158684,187345,5342,205525,129379,30740,37438,2657,30100,73477,197453
3,COOCHBEHAR UTTAR (SC),281,496871,256659,240212,183451,20431,332534,188414,51277,37506,7081,46339,113660,308457
4,COOCHBEHAR DAKSHIN,81,184999,95678,89321,79663,2280,115407,78755,18536,21300,1272,12891,41818,106244
5,SITALKUCHI (SC),330,648625,333488,315137,292673,20825,401241,266756,60190,84022,6079,43631,146656,381869
6,SITAI (SC),134,302490,155088,147402,149692,2171,183549,123653,34051,35890,2233,22408,71145,178837
7,DINHATA,121,313972,162700,151272,135444,3539,198550,122688,44106,33431,1840,20464,76802,191284
8,NATABARI,343,653347,335899,317448,205258,26409,421405,257360,59314,47421,14081,67150,151237,395987
9,TUFANGANJ,121,292897,151142,141755,125179,8925,188831,115772,29149,26268,4585,26452,68467,177125
10,KUMARGRAM (ST),220,573048,294599,278449,183910,103428,357645,221833,52597,38522,4709,60336,130842,351215
11,KALCHINI (ST),46,227219,113773,113446,30236,112290,133431,90592,4914,7392,911,48337,49689,136627
12,ALIPURDUARS,65,202902,104662,98240,115031,33990,132444,82934,20299,15595,967,24149,46499,119968
13,FALAKATA (SC),94,308440,158860,149580,133821,45819,191084,123431,33841,25419,2649,31318,69406,185009
14,MADARIHAT (ST),56,250109,125633,124476,48619,99115,145980,101626,7711,7988,658,55505,54423,148483
15,DHUPGURI (SC),77,258947,132650,126297,153127,24132,159446,105145,30702,21041,965,22873,57887,153802
16,MAYNAGURI (SC),121,361146,186404,174742,235863,9408,231951,134989,33921,33380,2629,34206,82923,226157
17,JALPAIGURI (SC),35,227809,117224,110585,136582,14316,147208,96981,20487,20183,875,27577,51561,130828
18,RAJGANJ (SC),47,245533,127239,118294,119662,18638,154998,96231,17252,15014,1573,38303,53565,149302
20,MAL (ST),110,324755,164706,160049,81432,107277,189963,122779,17119,13391,1272,57741,69942,201976
21,NAGRAKATA (ST),72,279911,139878,140033,39251,139142,153370,112526,6471,5024,648,66332,60147,167385
22,KALIMPONG,73,170216,86921,83295,9782,53008,121503,66714,5120,13982,660,19746,34615,103502
23,DARJEELING,69,167203,83871,83332,8633,47623,124044,65039,2066,9878,765,31061,36533,102164
24,KURSEONG,98,194818,97678,97140,13844,61499,140834,73241,3938,6436,989,40307,42750,121577
25,MATIGARA-NAXALBARI (SC),177,370336,190422,179914,122159,55013,231944,142498,19255,15076,3144,73978,79936,227838
27,PHANSIDEWA (ST),153,312752,160493,152259,118538,70163,181889,120806,19864,16312,2455,54581,66162,191946
28,CHOPRA,141,427612,220410,207202,78967,20119,221415,141067,31552,27682,2672,47491,85101,286545
29,ISLAMPUR,153,355324,182786,172538,79817,15342,182045,117973,32268,25878,2988,29995,72142,237351
30,GOALPOKHAR,243,512905,265061,247844,95510,26834,232819,174159,55618,39622,5973,31662,104440,338746
31,CHAKULIA,241,454634,233732,220902,103432,28205,222063,158243,52380,30824,4136,28314,93508,296391
32,KARANDIGHI,345,627586,321644,305942,151415,33412,346945,245317,62986,42119,14353,56937,132535,382269
33,HEMTABAD (SC),553,935266,479003,456263,250615,50935,566619,357675,95491,67140,12593,78715,207572,577591
34,KALIAGANJ (SC),714,1132089,581697,550392,352163,67810,697479,446517,112870,85189,18497,102331,251524,685572
35,RAIGANJ,180,350346,179134,171212,92851,17242,206378,133575,33878,22730,5008,30698,76711,216771
36,ITAHAR,484,740345,378724,361621,185418,57904,434110,284289,79917,59098,9172,56163,163874,456056
37,KUSHMUNDI (SC),737,1038074,530457,507617,291163,62844,641195,392561,98300,81126,12954,90437,234328,645513
38,KUMARGANJ,597,821603,420875,400728,204345,61422,532505,319623,87830,62146,10809,68069,188848,501980
39,BALURGHAT,436,599288,307494,291794,163088,55824,388536,239773,60206,40763,10193,57526,137318,359515
40,TAPAN (ST),534,729167,372576,356591,170502,82094,453993,286935,75392,55552,10641,62309,167424,442232
41,GANGARAMPUR (SC),257,386334,197631,188703,109021,37898,239577,158043,37721,32237,6501,33563,87688,228291
42,HARIRAMPUR,355,440640,224740,215900,105480,52163,272626,172003,44712,36316,6008,32302,100224,268637
43,HABIBPUR (ST),138,212989,108512,104477,83822,27615,125579,90929,17919,15435,5444,19328,46190,122060
44,GAZOLE (SC),211,337008,171562,165446,122375,46944,197519,139260,31270,36110,3662,27168,73756,197748
45,CHANCHAL,154,308564,158853,149711,70090,6806,169600,116439,38660,21289,2921,21978,71458,192125
46,HARISCHANDRAPUR,122,342486,176631,165855,66227,11898,170500,115756,32492,22559,4260,21948,70863,226730
47,MALATIPUR,146,339500,173909,165591,47442,19402,185839,117419,37771,20194,3657,21597,75020,222081
48,RATUA,118,353523,182412,171111,51547,21811,194094,121576,29883,21405,3556,27212,74641,231947
49,MANIKCHAK,73,216024,111530,104494,60597,26200,114516,77942,17823,7226,2943,20217,48409,138082
50,MALDAHA (SC),156,260642,133834,126808,76676,22977,142855,99984,26615,16763,3019,23425,56934,160658
51,ENGLISH BAZAR,120,196255,100514,95741,45746,10269,119084,75557,13920,9705,4818,24495,43075,120698
52,MOTHABARI,46,220247,112358,107889,36171,10697,118497,94064,16444,7304,13653,23599,47577,126183
53,SUJAPUR,45,181517,92861,88656,13358,531,102784,78679,9995,5463,10311,26995,37412,102838
54,BAISHNAB NAGAR,64,295669,152512,143157,95041,15877,146467,127649,22443,14717,19711,26643,57852,168020
55,FARAKKA,39,135809,69103,66706,17948,2688,69534,58410,6047,2942,13264,17612,27530,77399
56,SAMSERGANJ,52,113444,57328,56116,23016,1860,61510,45210,7056,3216,9192,10456,22851,68234
57,SUTI,66,200318,101832,98486,27648,2372,91164,87040,22255,7698,20539,12416,39900,113278
58,JANGIPUR,130,300081,153565,146516,82665,10595,177021,121669,24142,14687,9941,34624,64685,178412
59,RAGHUNATHGANJ,59,187516,95777,91739,25371,3448,95663,74791,12911,6720,11473,23786,38312,112725
60,SAGARDIGHI,235,446243,228030,218213,99952,26936,267076,161064,50269,24086,5325,40047,99770,285179
61,LALGOLA,69,274962,140336,134626,40616,2102,166543,96087,18871,10050,5381,32795,58871,178875
62,BHAGABANGOLA,127,359059,184714,174345,43569,6101,213424,119994,39135,18806,3776,33208,81786,239065
63,RANINAGAR,162,374690,191715,182975,58984,8046,224612,134749,44045,27292,4259,24709,87397,239941
64,MURSHIDABAD,132,283766,145434,138332,51293,14415,171528,104288,31750,18127,3670,24373,65112,179478
65,NABAGRAM (SC),129,255215,130782,124433,70288,16582,159239,89948,33009,18059,2116,14353,58730,165267
66,KHARGRAM (SC),158,325995,166854,159141,74068,9547,189767,113949,39846,19426,3673,19108,77450,212046
67,BURWAN (SC),203,371322,190603,180719,97751,11307,229880,132260,38962,24453,3720,26182,87343,239062
68,KANDI,110,266559,136706,129853,49198,6670,160098,90553,24829,23268,1691,16862,59745,176006
69,BHARATPUR,103,271164,139031,132133,55023,3557,156733,96427,33102,16382,6740,20486,61738,174737
70,REJINAGAR,60,242938,125005,117933,23386,1941,144643,85426,19509,15342,7170,26203,53446,157512
71,BELDANGA,64,206530,106139,100391,32326,5032,122128,71442,18703,12171,3447,19370,45042,135088
72,BAHARAMPUR,37,94911,48520,46391,15365,3557,60748,34340,11186,5326,1290,8626,22723,60571
73,HARIHARPARA,64,272824,139340,133484,20851,4213,167394,94903,29226,20781,3860,17993,66766,177921
74,NAODA,42,197186,101091,96095,29287,1382,121727,65879,20049,13334,2091,18028,45318,131307
75,DOMKAL,67,294918,150908,144010,16972,2763,169396,104791,31864,21750,4382,24014,71137,190127
76,JALANGI,49,280147,143362,136785,41941,2843,164701,95376,35301,18723,3115,19342,66173,184771
77,KARIMPUR,71,216584,111451,105133,37409,5327,122785,74106,30945,16457,1952,11292,57293,142478
78,TEHATTA,81,211863,108994,102869,76931,5846,133524,75108,28545,16389,2996,15527,51507,136755
79,PALASHIPARA,64,255907,131140,124767,36907,3677,152653,81596,29537,23049,1537,15369,59837,174311
80,KALIGANJ,52,163705,84060,79645,24949,946,96647,53713,20486,10506,2120,12055,37753,109992
81,NAKASHIPARA,97,215540,110693,104847,59885,7995,127586,71731,25155,12707,2906,15727,50220,143809
82,CHAPRA,74,241228,123546,117682,43679,2203,146414,77216,27081,18934,1533,13809,54725,164012
83,KRISHNANAGAR  UTTAR,35,88526,45769,42757,40123,3728,56559,30720,9665,6251,1567,9543,20970,57806
84,NABADWIP,37,104743,54167,50576,25413,5679,59770,39809,10030,5542,6242,10483,24205,64934
85,KRISHNANAGAR  DAKSHIN,61,198673,101981,96692,44985,5564,128949,76106,19813,11481,5760,26169,46903,122567
86,SANTIPUR,30,61424,31570,29854,28872,2320,38027,25342,5595,3539,6011,5925,14247,36082
87,RANAGHAT UTTAR PASCHIM,23,53324,27594,25730,23223,1738,34984,20285,5143,3718,1810,7518,12640,33039
88,KRISHNAGANJ (SC),79,208603,107860,100743,93462,8466,143424,76271,21842,17941,3540,20701,48795,132332
89,RANAGHAT UTTAR PURBA(SC),63,205351,106247,99104,116834,10356,143648,73735,18529,17080,3030,22977,47174,131616
90,RANAGHAT DAKSHIN  (SC),75,153762,79234,74528,54168,8360,107291,55184,16729,13654,1801,15528,36324,98578
91,CHAKDAHA,64,145152,74884,70268,55372,10381,101875,51935,15736,10237,1038,16477,33259,93217
92,KALYANI (SC),26,66586,34320,32266,36644,2144,44289,22910,6007,3306,384,9859,15023,43676
93,HARINGHATA (SC),86,206557,106322,100235,79663,11359,147617,77499,22531,16331,2373,22466,47137,129058
94,BAGDA (SC),119,298943,153907,145036,143727,13157,207026,114669,36723,23019,3544,31118,70577,184274
95,BANGAON UTTAR(SC),58,137714,70920,66794,60652,4037,99060,51286,12747,10619,1642,15927,32273,86428
96,BANGAON DAKSHIN (SC),73,169819,87500,82319,85137,4092,120881,61398,20138,15277,1434,16226,40411,108421
97,GAIGHATA (SC),80,174112,89251,84861,61610,8207,128103,63918,16664,9285,2420,23797,40646,110194
98,SWARUPNAGAR (SC),65,210581,107751,102830,63862,912,146155,80255,23111,17186,2453,16664,50200,130326
99,BADURIA,50,166015,84682,81333,29938,4762,115031,61638,14837,9396,3173,20510,38555,104377
100,HABRA,38,111589,57879,53710,35755,4059,82091,40615,9711,4259,2236,17966,26351,70974
