Detailed Results ,,,,,,,,,,,
Constituency No.,Constituency Name,Candidate Name,Candidate Sex,Candidate Age,Candidate Category, Party Name, VALID VOTES POLLED in General, VALID VOTES POLLED in Postal, Total Valid Votes,Total Electors,Total Votes
1,Mekliganj,ARGHYA ROY PRADHAN (BILU),M,44,SC,AITC,74608,215,74823,202689,180960
1,Mekliganj,PARESH CHANDRA ADHIKARY,M,63,SC,AIFB,67821,365,68186,202689,180960
1,Mekliganj,DADHIRAM RAY,M,32,SC,BJP,23313,42,23355,202689,180960
1,Mekliganj,JYOTISH ROY,M,66,SC,BSP,5650,0,5650,202689,180960
1,Mekliganj,None of the Above,NOTA,2331,2,2333,202689,180960
1,Mekliganj,PRAMILA ROY,F,50,SC,SUCI,2087,3,2090,202689,180960
1,Mekliganj,RATAN BARMAN,M,51,SC,AMB,1809,0,1809,202689,180960
1,Mekliganj,GOLAPI ROY,F,29,SC,IND,955,0,955,202689,180960
1,Mekliganj,DIPEN ROY,M,25,SC,IND,913,1,914,202689,180960
1,Mekliganj,BINOD ROY,M,42,SC,KPPU,845,0,845,202689,180960
2,Mathabhanga,BINAY KRISHNA BARMAN,M,55,SC,AITC,95913,470,96383,229622,200385
2,Mathabhanga,KHAGEN CHANDRA BARMAN,M,53,SC,CPM,63761,704,64465,229622,200385
2,Mathabhanga,SUSHIL BARMAN,M,48,SC,BJP,31205,53,31258,229622,200385
2,Mathabhanga,None of the Above,NOTA,1971,9,1980,229622,200385
2,Mathabhanga,KANGSA RAJ BARMAN,M,47,SC,KPPU,1759,0,1759,229622,200385
2,Mathabhanga,HAREKRISHNA SARKAR,M,44,SC,IND,1353,0,1353,229622,200385
2,Mathabhanga,PIYARI MOHON BARMAN,M,46,SC,IND,1120,0,1120,229622,200385
2,Mathabhanga,NAYAN CHAND BARMAN,M,59,SC,AMB,1037,1,1038,229622,200385
2,Mathabhanga,MANJULA ROY,F,38,SC,SUCI,1026,3,1029,229622,200385
3,Cooch Behar Uttar,NAGENDRA NATH ROY,M,59,SC,AIFB,96681,948,97629,258722,223771
3,Cooch Behar Uttar,PARIMAL BARMAN,M,39,SC,AITC,84782,554,85336,258722,223771
3,Cooch Behar Uttar,SUKUMAR ROY,M,48,SC,BJP,29952,73,30025,258722,223771
3,Cooch Behar Uttar,None of the Above,NOTA,2641,8,2649,258722,223771
3,Cooch Behar Uttar,PRAFULLA KUMAR DAS,M,56,SC,IND,1843,0,1843,258722,223771
3,Cooch Behar Uttar,GOPAL ROY,M,56,SC,IND,1762,3,1765,258722,223771
3,Cooch Behar Uttar,ANILCHANDRA ROY,M,47,SC,SUCI,1730,1,1731,258722,223771
3,Cooch Behar Uttar,HARIBALA RAY,M,66,SC,AMB,1503,4,1507,258722,223771
3,Cooch Behar Uttar,NARESH CHANDRA ROY,M,43,SC,IND,1286,0,1286,258722,223771
4,Cooch Behar Dakshin,MIHIR GOSWAMI,M,62,GEN,AITC,82317,532,82849,213162,179173
4,Cooch Behar Dakshin,DEBASIS BANIK,M,58,GEN,AIFB,63385,1269,64654,213162,179173
4,Cooch Behar Dakshin,NIKHIL RANJAN DEY,M,58,GEN,BJP,18108,68,18176,213162,179173
4,Cooch Behar Dakshin,MAYA MAJUMDER,F,45,SC,BSP,5197,0,5197,213162,179173
