List OF Participating Political Parties,,,
Party Type,Party Name,Party Abbreviation
N,Bharatiya Janata Party,BJP
N,Bahujan Samaj Party,BSP
N,Communist Party of India,CPI
N,Communist Party of India  (Marxist),CPM
N,Indian National Congress,INC
N,Nationalist Congress Party,NCP
O,Aam Aadmi Party,AAAP
O,AJSU Party,AJSUP
O,Indian Union Muslim League,IUML
O,Janata Dal  (Secular),JD(S)
O,Janata Dal  (United),JD(U)
O,Jharkhand Mukti Morcha,JMM
O,Lok Jan Shakti Party,LJP
O,Rashtriya Janata Dal,RJD
O,Rashtriya Lok Dal,RLD
O,Shivsena,SHS
O,Samajwadi Party,SP
S,All India Forward Bloc,AIFB
S,All India Trinamool Congress,AITC
S,Revolutionary Socialist Party,RSP
U,Akhil Bharatiya Gorkha League,ABGL
U,Akhil Bharat Hindu Mahasabha,ABHM
U,Akhil Bhartiya Jharkhand Party,AKBJHP
U,Amra Bangalee,AMB
U,Bharat Nirman Party,BhNP
U,Bahujan Mukti Party,BMUP
U,Communist Party of India  (Marxist-Leninist)  (Liberation),CPI(ML)(L)
U,Communist Party of India (Marxist-Leninist) Red Star,CPIM
U,Democratic Socialist Party  (Prabodh Chandra),DSP(P)
U,Forward Democratic Labour Party,FDLP
U,Guru Chand Mukti Morcha,GMM
U,Gorkha Janmukti Morcha,GOJAM
U,Gorkha Rashtriya Congress,grac
U,Hindustan Krantikari Dal,HKRD
U,Indian Unity Centre,IUC
U,Jharkhand Disom Party,JDP
U,Jamat-E-Seratul Mustakim,JeSM
U,Jharkhand Anushilan Party,JHAP
U,Jharkhand Party  (Naren),JKP(N)
U,Kamatapur People’s Party (United),KPPU
U,Mai Hee Bharat,MHB
U,Mulnibasi Party of India,MPOI
U,New Democratic Party of India,NDPOI
U,Party for Democratic Socialism,PDS
U,Rashtriya Janadhikar Suraksha Party,RaJSP
U,Revolutionary Communist Party of India  (Rasik Bhatt),RCPI(R)
U,Republican Party of India (A),RPI(A)
U,SOCIAL DEMOCRATIC PARTY OF INDIA,SDPI
U,Socialist Party (India),SP(I)
U,Samajtantric Party of India,STPI
U,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),SUCI
U,Samajwadi Jan Parishad,SWJP
U,The Religion of Man Revolving Political Party of India,TRMRPPI
U,Welfare Party Of India,WPOI
Z,Independent,IND
Z1,None of the Above,NOTA
