Performance Of Political Parties,,,,,,,,,
Party Type,Party Name,Contested,Won,Forfitted,Votes,Total Valid Votes,Votes in %,Total Valid Votes in Seat Contested, VOTE % IN SEATS CONTESTED
N,Bharatiya Janata Party,291,3,263,5555134,54697791,10.1560481665521,54236459,10.242434890522627
N,Bahujan Samaj Party,161,0,161,300294,54697791,0.54900571761664019,29810643,1.007338218098818
N,Communist Party of India,11,1,0,791925,54697791,1.4478189804776578,2124882,37.269128356304023
N,Communist Party of India  (Marxist),148,26,0,10802058,54697791,19.748618367421823,28059913,38.49640588693201
N,Indian National Congress,92,44,4,6700938,54697791,12.250838429654316,16660837,40.219696045282724
N,Nationalist Congress Party,1,0,0,69898,54697791,0.12778943851681324,192276,36.352950966319248
O,Aam Aadmi Party,2,0,2,1150,54697791,2.1024615052553037E-3,302494,0.38017282987431156
O,AJSU Party,12,0,12,17257,54697791,3.1549720170600676E-2,2283795,0.75562824158910935
O,Indian Union Muslim League,10,0,10,13468,54697791,2.4622566567633418E-2,1805832,0.74580581139330793
O,Janata Dal  (Secular),3,0,3,1299,54697791,2.3748673872405562E-3,423483,0.30674194713837388
O,Janata Dal  (United),2,0,1,40327,54697791,7.3726926193417933E-2,325280,12.397626660108214
O,Jharkhand Mukti Morcha,18,0,18,39326,54697791,7.1896870570147889E-2,3246257,1.2114259591893062
O,Lok Jan Shakti Party,19,0,19,13204,54697791,2.4139914535122632E-2,3618399,0.36491276943200568
O,Rashtriya Janata Dal,1,0,1,15639,54697791,2.8591648244076256E-2,104630,14.946955939978974
O,Rashtriya Lok Dal,2,0,2,1569,54697791,2.8684887841265837E-3,359523,0.43641157867507785
O,Shivsena,21,0,21,49218,54697791,8.998169597013525E-2,3951572,1.2455296271964675
O,Samajwadi Party,23,0,23,46402,54697791,8.4833407623353563E-2,4114723,1.1277065309135026
S,All India Forward Bloc,25,2,2,1543764,54697791,2.822351637564303,4725721,32.667269184956119
S,All India Trinamool Congress,293,211,1,24564523,54697791,44.909533915181328,54559806,45.023112802123968
S,Revolutionary Socialist Party,19,3,4,911004,54697791,1.6655224705509588,3340220,27.273772386250005
U,Akhil Bharatiya Gorkha League,1,0,1,3855,54697791,7.0478166110949526E-3,176542,2.1836163632450072
U,Akhil Bharat Hindu Mahasabha,4,0,4,2781,54697791,5.084300387926087E-3,731046,0.38041381800871632
U,Akhil Bhartiya Jharkhand Party,1,0,1,769,54697791,1.4059068674272422E-3,218036,0.35269405052376673
U,Amra Bangalee,21,0,21,32025,54697791,5.8548982352870524E-2,4166346,0.76865915600864643
U,Bharat Nirman Party,12,0,12,18272,54697791,3.340537097741296E-2,2392877,0.76359963341199744
U,Bahujan Mukti Party,23,0,23,35915,54697791,6.5660786922821068E-2,4162333,0.86285744076699289
U,Communist Party of India  (Marxist-Leninist)  (Liberation),35,0,35,45730,54697791,8.3604838813326116E-2,6627235,0.69003136300432988
U,Communist Party of India (Marxist-Leninist) Red Star,4,0,4,6302,54697791,1.1521489048799063E-2,668449,0.94277947906272574
U,Democratic Socialist Party  (Prabodh Chandra),2,0,0,167576,54697791,0.30636703409101113,428149,39.139645310394279
U,Forward Democratic Labour Party,1,0,1,1712,54697791,3.129925301736591E-3,195444,0.87595423753095514
U,Guru Chand Mukti Morcha,2,0,2,2220,54697791,4.0586648188406732E-3,405626,0.54730219463249397
U,Gorkha Janmukti Morcha,5,3,2,254626,54697791,0.46551422890185817,788626,32.287294611133795
U,Gorkha Rashtriya Congress,4,0,4,12001,54697791,2.1940556977885998E-2,629682,1.9058826518782497
U,Hindustan Krantikari Dal,3,0,3,1737,54697791,3.1756309866334455E-3,538988,0.32227062569111004
U,Indian Unity Centre,16,0,16,19326,54697791,3.5332322652664346E-2,3098226,0.62377631586591809
U,Jharkhand Disom Party,16,0,16,30350,54697791,5.5486701464781268E-2,3012619,1.0074290841291249
U,Jamat-E-Seratul Mustakim,1,0,1,519,54697791,9.4885001845869789E-4,166496,0.31171920046127233
U,Jharkhand Anushilan Party,2,0,2,3855,54697791,7.0478166110949526E-3,377570,1.0210027279709721
U,Jharkhand Party  (Naren),2,0,1,51099,54697791,9.3420591701774566E-2,354492,14.414711756541756
U,Kamatapur People’s Party (United),13,0,13,31080,54697791,5.6821307463769427E-2,2520275,1.2331987580720358
U,Mai Hee Bharat,1,0,1,473,54697791,8.6475155824848582E-4,134646,0.35129153483950509
U,Mulnibasi Party of India,14,0,14,11785,54697791,2.1545659860377177E-2,2656356,0.44365288387550467
U,New Democratic Party of India,4,0,4,4771,54697791,8.7224729057156988E-3,806822,0.5913324128494265
U,Party for Democratic Socialism,23,0,23,26791,54697791,4.8980040162865078E-2,4283019,0.62551672079904386
U,Rashtriya Janadhikar Suraksha Party,3,0,3,1278,54697791,2.3364746119271984E-3,508221,0.25146540579787141
U,Revolutionary Communist Party of India  (Rasik Bhatt),1,0,1,751,54697791,1.3729987743015071E-3,185473,0.40491068780900724
U,Republican Party of India (A),6,0,6,6923,54697791,1.2656818261636929E-2,1167369,0.59304298812115108
U,SOCIAL DEMOCRATIC PARTY OF INDIA,8,0,8,15888,54697791,2.9046876865648927E-2,1397691,1.1367319386044554
U,Socialist Party (India),1,0,1,997,54697791,1.8227427136865548E-3,194920,0.51149189411040419
U,Samajtantric Party of India,1,0,1,245,54697791,4.4791571198917336E-4,134646,0.18195861741158295
U,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),182,0,180,365996,54697791,0.6691239139803653,34181088,1.0707558518909639
U,Samajwadi Jan Parishad,1,0,1,1560,54697791,2.8520347375637161E-3,214642,0.7267915878532627
U,The Religion of Man Revolving Political Party of India,1,0,1,537,54697791,9.8175811158443299E-4,189396,0.28353291516188306
U,Welfare Party Of India,22,0,22,43754,54697791,7.9992261479078744E-2,4153714,1.0533705498260111
Z,Independent,371,1,359,1184047,54697791,2.1647071634026318,33549931,3.5292084505330279
