ABBREVIATIONS,,DESCRIPTIONS
FD,,Forfeited Deposits
GEN,,General Constituency
SC,,Reserved for Scheduled Castes
ST,,Reserved for Scheduled Tribes
M,,Male
F,,Female
O,,Third Gender
T,,Total
N,,National Party
S,,State Party
U,,Registered (Unrecognised) Party
Z,,Independent
Disclaimer,,
"This report is based on Index Cards data made available by concerned Returning Officers on the basis of Statutory data maintained in the forms. In case of any dispute, the data maintained in the Statutory Forms by the concerned Returning Officers shall prevail.",,
