9 - Candidate Data Summary
TYPE OF CONSTITUENCY
GEN,SC,ST,TOTAL
1. NO. OF CONSTITUENCIES,210,68,16,294
2. NOMINATIONS FILED,
a. Male,1489,397,106,1992
b. Female,192,51,11,254
c. Third Gender,0,0,0,0
d. Total,1681,448,117,2246
3. NOMINATIONS REJECTED,
a. Male,29,5,1,35
b. Female,4,3,1,8
c. Third Gender,0,0,0,0
d. Total,33,8,2,43
4. NOMINATIONS WITHDRAWN,
a. Male,46,12,7,65
b. Female,4,2,0,6
c. Third Gender,0,0,0,0
d. Total,50,14,7,71
5. CONTESTING CANDIDATES,
a. Male,1414,380,98,1892
b. Female,184,46,10,240
c. Third Gender,0,0,0,0
d. Total,1598,426,108,2132
6. FORFEITED DEPOSITS,
a. Male,1020,263,71,1354
b. Female,126,23,5,154
c. Third Gender,0,0,0,0
d. Total,1146,286,76,1508
Disclaimer
"This report is based on Index Cards data made available by concerned Returning Officers on the basis of Statutory data maintained in the forms. In case of any dispute, the data maintained in the Statutory Forms by the concerned Returning Officers shall prevail."
