sheet,ac_no,ac_name,nominated,rejected,contested,electors_male,electors_total,voters_total,polling_pct,valid_votes,rejected_votes,nota
S25-1-Mekliganj,1,Mekliganj,7,0,7,116300,116654,100348,87.87,194965,,2442
S25-2-Mathabhanga,2,Mathabhanga,8,0,8,128992,129362,107940,86.51,210824,,1431
S25-3-COOCHBEHAR UTTAR,3,COOCHBEHAR UTTAR,7,0,7,147161,148274,125085,86.37,239190,,1555
S25-4-Coochbehar Dakshin,4,Coochbehar Dakshin,9,1,7,120294,120721,98745,83.67,191080,,1441
S25-5-Sitalkuchi,5,Sitalkuchi,7,0,7,150039,150358,126743,86.35,241667,,2738
S25-6-Sitai,6,Sitai,9,0,9,151712,151947,119814,82.19,234778,,1564
S25-7-Dinhata,7,Dinhata,6,0,6,154084,154887,120988,81.54,239275,,1515
S25-8-Natabari,8,Natabari,7,0,7,125925,126388,109777,88.81,212821,,1127
S25-9-Tufanganj,9,Tufanganj,8,1,7,121430,121859,106587,89.52,204461,,2047
S25-10-Kumargram,10,Kumargram,7,0,6,139289,140060,115974,85.29,227300,,2706
S25-11-Kalchini,11,Kalchini,10,0,10,121817,122622,94459,79.32,191803,,2370
S25-12-Alipurduars,12,Alipurduars,8,0,8,131679,132599,110864,85.68,217267,,1950
S25-13-Falakata,13,Falakata,8,0,8,129599,130111,109458,86.77,216245,,1964
S25-14-Madarihat,14,Madarihat,7,0,7,104559,105263,80606,78.65,162932,,2607
S25-15-Dhupguri,15,Dhupguri,9,0,7,134426,134928,114751,87.27,224858,,1976
S25-16-Maynaguri,16,Maynaguri,9,0,9,136277,136896,121209,89.52,230338,,3072
S25-17-Jalpaiguri,17,Jalpaiguri,10,0,9,131679,132519,111756,86.34,217020,,3334
S25-18-Rajganj,18,Rajganj,8,1,7,125274,125664,112377,89.13,210215,,4580
S25-19-Dabgram-Fulbari,19,Dabgram-Fulbari,10,0,8,157551,157978,132216,83.55,253872,,3358
S25-20-Mal,20,Mal,4,0,4,127551,128195,105805,83.49,207507,,4688
S25-21-Nagrakata,21,Nagrakata,6,0,6,115833,116629,92671,80.59,185041,,5448
S25-22-Kalimpong,22,Kalimpong,12,0,8,103961,106055,77478,73.14,150078,,2142
S25-23-Darjeeling,23,Darjeeling,9,0,8,119429,123409,81671,68.9,162774,,2495
S25-24-Kurseong,24,Kurseong,9,0,7,114494,116757,85231,74.62,170374,,2762
S25-25-Matigara-Naxalbari,25,Matigara-Naxalbari,7,0,6,142465,144241,120047,83.7,234995,,3888
S25-26-Siliguri,26,Siliguri,9,0,8,115682,115917,91044,78.48,174543,,2035
S25-27-Phansidewa,27,Phansidewa,7,0,6,121576,122184,106740,86.45,204032,,2564
