ac_no,ac_name,STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
10,Detailed Results,West Bengal,1,Mekliganj,1 ADHIKARY PARESH CHANDRA,MALE,68,SC,AITC,Flowers and Grass,98790,548,99338,49.98,226465
10,Detailed Results,West Bengal,1,Mekliganj,2 DADHIRAM RAY,MALE,38,SC,BJP,Lotus,83991,662,84653,42.59,226465
10,Detailed Results,West Bengal,1,Mekliganj,3 GOBINDA CHANDRA ROY,MALE,62,SC,AIFB,Lion,6758,95,6853,3.45,226465
10,Detailed Results,West Bengal,1,Mekliganj,4 NOTA,NOTA,NOTA,2442,5,2447,1.23,226465,,,
10,Detailed Results,West Bengal,1,Mekliganj,5 RANJIT KUMAR ROY,MALE,37,SC,SUCI,Battery torch,1761,7,1768,0.89,226465
10,Detailed Results,West Bengal,1,Mekliganj,6 JYOTISH ROY,MALE,71,SC,BSP,Elephant,1019,6,1025,0.52,226465
10,Detailed Results,West Bengal,1,Mekliganj,7 SUBHASH BARMAN,MALE,46,SC,IND,COCONUT FARM,953,2,955,0.48,226465
10,Detailed Results,West Bengal,1,Mekliganj,8 KUKIL ADHIKARY,MALE,36,SC,KPPU,Saw,789,5,794,0.4,226465
10,Detailed Results,West Bengal,1,Mekliganj,9 GOLAPI ROY,FEMALE,33,SC,IND,Telephone,508,3,511,0.26,226465
10,Detailed Results,West Bengal,1,Mekliganj,10 CHINU ROY BARMAN,FEMALE,31,SC,AMB,Boat with Man and Sail,396,4,400,0.2,226465
10,Detailed Results,TURN OUT,,,,TOTAL:,197407,1337,198744,87.76,,,,,
10,Detailed Results,West Bengal,2,Mathabhanga,1 Sushil Barman,MALE,55,SC,BJP,Lotus,112146,1103,113249,52.87,248022
10,Detailed Results,West Bengal,2,Mathabhanga,2 Girindra Nath Barman,MALE,66,SC,AITC,Flowers and Grass,86470,645,87115,40.67,248022
10,Detailed Results,West Bengal,2,Mathabhanga,3 Ashok Barman,MALE,38,SC,CPI(M),"Hammer, Sickle and Star",7553,165,7718,3.6,248022
10,Detailed Results,West Bengal,2,Mathabhanga,4 NOTA,NOTA,NOTA,1431,12,1443,0.67,248022,,,
10,Detailed Results,West Bengal,2,Mathabhanga,5 Kangsa Raj Barman,MALE,52,SC,KPPU,SHIP,1282,7,1289,0.6,248022
10,Detailed Results,West Bengal,2,Mathabhanga,6 Haradhan Roy,MALE,34,SC,IND,Football Player,1166,1,1167,0.54,248022
10,Detailed Results,West Bengal,2,Mathabhanga,7 Animesh Mohanta,MALE,40,SC,IND,Telephone,1144,3,1147,0.54,248022
10,Detailed Results,West Bengal,2,Mathabhanga,8 Bikash Barman,MALE,35,SC,SUCI,Battery torch,582,7,589,0.27,248022
10,Detailed Results,West Bengal,2,Mathabhanga,9 Ratan Barman,MALE,56,SC,AMB,Boat with Man and Sail,481,5,486,0.23,248022
10,Detailed Results,TURN OUT,,,,TOTAL:,212255,1948,214203,86.36,,,,,
10,Detailed Results,West Bengal,3,COOCHBEHAR UTTAR,1 SUKUMAR ROY,MALE,52,SC,BJP,Lotus,118656,1827,120483,49.4,282988
10,Detailed Results,West Bengal,3,COOCHBEHAR UTTAR,2 BINAY KRISHNA BARMAN,MALE,60,SC,AITC,Flowers and Grass,104823,1045,105868,43.4,282988
10,Detailed Results,West Bengal,3,COOCHBEHAR UTTAR,3 NAGENDRA NATH ROY,MALE,65,SC,AIFB,Lion,11232,243,11475,4.7,282988
10,Detailed Results,West Bengal,3,COOCHBEHAR UTTAR,4 NOTA,NOTA,NOTA,1555,15,1570,0.64,282988,,,
10,Detailed Results,West Bengal,3,COOCHBEHAR UTTAR,5 ANIL CHANDRA ROY,MALE,53,SC,SUCI,Battery torch,1375,11,1386,0.57,282988
10,Detailed Results,West Bengal,3,COOCHBEHAR UTTAR,6 NARESH CHANDRA ROY,MALE,48,SC,IND,SHIP,1374,5,1379,0.57,282988
10,Detailed Results,West Bengal,3,COOCHBEHAR UTTAR,7 SAMARESH RAY,MALE,39,SC,KPPU,Boat with Man and Sail,1110,17,1127,0.46,282988
