PARTY TYPE,ABBREVIATION,PARTY
NATIONAL PARTIES,,
1.0,AITC,All India Trinamool Congress
2.0,BJP,Bharatiya Janata Party
3.0,BSP,Bahujan Samaj Party
4.0,CPI,Communist Party of India
5.0,CPI(M),Communist Party of India (Marxist)
6.0,INC,Indian National Congress
7.0,NPEP,National People's Party
STATE PARTIES,,
8.0,AIFB,All India Forward Bloc
9.0,RSP,Revolutionary Socialist Party
STATE PARTIES - OTHER STATES,,
10.0,AIMIM,All India Majlis-E-Ittehadul Muslimeen
11.0,AJSUP,AJSU Party
12.0,CPI(ML)(L),Communist Party of India (Marxist-Leninist) (Liberation)
13.0,IUML,Indian Union Muslim League
14.0,JD(U),Janata Dal (United)
15.0,LJP,Lok Jan Shakti Party
REGISTERED(Unrecognised) PARTIES,,
16.0,ABHM,Akhil Bharat Hindu Mahasabha
17.0,AIMF,All India Minorities Front
18.0,AMB,Amra Bangalee
19.0,APoI,Ambedkarite Party of India
20.0,BAHUMP,Bahujan Maha Party
21.0,BHMP,Bharateeya Manavadhikar party
22.0,BMF,Bharatiya Momin Front
23.0,BMUP,Bahujan Mukti Party
24.0,BNARP,Bharatiya Nyay-Adhikar Raksha Party
25.0,BTP,Bhartiya Tribal Party
26.0,CPIM,Communist Party of India (Marxist-Leninist) Red Star
27.0,DSPI,Democratic Socialist Party of India
28.0,GMM,Guru Chand Mukti Morcha
29.0,HAMS,Hindustani Awam Morcha (Secular)
30.0,HUMP,Humanity Universal Motion Party
31.0,IUC,Indian Unity Centre
32.0,JASP,Jan Sangh Party
33.0,JeSM,Jamat-E-Seratul Mustakim
34.0,JSTDVPMTP,"Justice and Development Party,"
35.0,KPPU,Kamatapur People’s Party (United)
36.0,LKSAMYP,Lok Samya Party
37.0,MPOI,Mulnibasi Party of India
38.0,NDPOI,New Democratic Party of India
39.0,NRPI,National Republic Party Of India
40.0,PDS,Party for Democratic Socialism
41.0,PMPT,Purvanchal Mahapanchayat
42.0,PRDSEP,Paradise Party
43.0,PrPP,Progressive People's Party
44.0,RPI(A),Republican Party of India (A)
45.0,RPPRINAT,Republican Party of India (Athawale)
46.0,RSPI,Revolutionary Socialist Party of India(Marxist)
47.0,RSSCMJP,Rashtriya Secular Majlis Party
48.0,RTORP,Right to Recall Party
49.0,RVNP,Rashtravadi Janata Party
50.0,SDPI,SOCIAL DEMOCRATIC PARTY OF INDIA
51.0,SJSMP,Sajag Samaj Party
52.0,SP(I),Socialist Party (India)
53.0,SUCI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)
54.0,SWJP,Samajwadi Jan Parishad
55.0,UTSAP,United Socialist Party
56.0,VINPA,Vikas India Party
57.0,WBSP,West Bengal Socialist Party
58.0,WPOI,Welfare Party Of India
INDEPENDENTS,,
59.0,IND,Independent
60.0,NOTA,None of the Above
Disclaimer,,
"This report is based on Index Cards data made available by concerned Returning Officers on the basis of Statutory data maintained in the forms. In case of any dispute, the data maintained in the Statutory Forms by the concerned Returning Officers shall prevail.",,
