ac_no,ac_name,district,reservation,pop_total,pop_male,pop_female,pop_0_6,sc_pop,st_pop,literates,illiterates,households,total_workers,main_workers,cultivators,agri_labourers,hh_industry_workers,other_workers,sex_ratio,child_ratio_0_6,sc_pct,st_pct,literacy_pct,female_literacy_pct,workforce_participation_pct,agri_worker_share_pct,other_worker_share_pct,electors_2021,polling_pct_2021,nota_2021,total_valid_votes_2021,candidates_2021,winner_2021,winner_party_2021,winner_sex_2021,winner_age_2021,winner_vote_pct_2021,electors_2011,polling_pct_2011,nfhs_under15_pct,nfhs_sex_ratio,nfhs_female_school_pct,nfhs_tfr
1,mekliganj,koch bihar,GEN,282904,144970,137934,37040,185854,2475,172860,110044,67019,112066,89032,40282,27449,1121,20180,951.0,13.09,65.7,0.87,70.31,63.11,39.61,60.44,18.01,226465,87.87,2442,196297,10,1 ADHIKARY PARESH CHANDRA,AITC,MALE,68,49.98,170181,86.64,25.0,1058.0,,
2,mathabhanga,koch bihar,GEN,288259,148131,140127,36174,173162,3188,185438,102820,65017,113157,89757,30965,26221,2209,30360,946.0,12.55,60.07,1.11,73.56,66.94,39.26,50.54,26.83,248022,86.51,1431,212760,9,1 Sushil Barman,BJP,MALE,55,52.87,194088,86.85,25.0,1058.0,,
3,cooch behar uttar,koch bihar,GEN,357263,186168,171095,39450,156973,3611,261466,95796,83954,133619,110563,23673,31055,3014,52819,919.0,11.04,43.94,1.01,82.27,76.94,37.4,40.96,39.53,282988,86.37,1555,242346,8,1 SUKUMAR ROY,BJP,MALE,52,49.4,218743,86.05,25.0,1058.0,,
4,cooch behar dakshin,koch bihar,GEN,293310,150337,142973,35329,105026,420,202767,90542,67969,117548,89874,24017,22076,2573,41206,951.0,12.05,35.81,0.14,78.6,73.23,40.08,39.21,35.06,233839,83.67,1441,194041,10,1 Nikhil Ranjan Dey,BJP,MALE,63,46.83,182901,84.32,25.0,1058.0,,
5,sitalkuchi,koch bihar,GEN,380748,194989,185759,52665,237323,374,233144,147604,87257,162120,122726,70706,33555,1363,17101,953.0,13.83,62.33,0.1,71.06,63.56,42.58,64.31,10.55,285260,86.35,2738,243223,8,1 Baren Chandra Barman,BJP,MALE,47,50.8,216535,88.47,25.0,1058.0,,
6,sitai,koch bihar,GEN,353673,181335,172337,45912,174086,1336,214865,138808,83755,147784,112830,42364,42205,2226,26033,950.0,12.98,49.22,0.38,69.82,63.65,41.79,57.23,17.62,290568,82.19,1564,237001,10,1 JAGADISH CHANDRA BARMA BASUNIA,AITC,MALE,57,49.42,209580,81.58,25.0,1058.0,,
7,dinhata,koch bihar,GEN,310837,160989,149847,35646,129463,1385,206689,104148,77225,120931,100871,32319,41438,1631,25482,931.0,11.47,41.65,0.45,75.11,69.38,38.91,60.99,21.07,299251,81.54,1515,242214,7,1 NISITH PRAMANIK,BJP,MALE,35,47.6,222013,82.96,25.0,1058.0,,
8,natabari,koch bihar,GEN,278261,143537,134724,31308,121233,1485,188671,89589,67948,112545,87964,23032,25231,7367,32332,939.0,11.25,43.57,0.53,76.4,70.3,40.45,42.88,28.73,245040,88.81,1127,216027,8,1 Mihir Goswami,BJP,MALE,67,51.45,193375,89.18,25.0,1058.0,,
9,tufanganj,koch bihar,GEN,279058,143921,135136,32186,124159,3243,187258,91800,67079,108965,83015,23174,23836,4760,31243,939.0,11.53,44.49,1.16,75.85,69.51,39.05,43.14,28.67,234311,89.52,2047,207309,9,1 Malati Rava Roy,BJP,FEMALE,56,54.69,183248,89.39,25.0,1058.0,,
10,kumargram,jalpaiguri,GEN,292236,150268,141967,35058,107006,79206,187167,105068,66636,115913,80064,17629,20913,1911,39609,945.0,12.0,36.62,27.1,72.78,66.16,39.66,33.25,34.17,272924,85.29,2706,229771,8,1 MANOJ KUMAR ORAON,BJP,MALE,41,48.16,205554,85.35,22.6,1038.0,,
