poll_id,poll_type,media_house,agency,field_date_start,field_date_end,pub_date,sample_size,tmc_seats_low,tmc_seats_high,tmc_seats_mid,bjp_seats_low,bjp_seats_high,bjp_seats_mid,left_cong_seats_low,left_cong_seats_high,left_cong_seats_mid,others_seats,tmc_vote_pct,bjp_vote_pct,left_cong_vote_pct,source,notes
1,pre-poll,India TV,CNX,2023-09-20,2023-10-03,2023-10-05,54250,30,30,30,10,10,10,2,2,2,,48.0,36.0,13.0,India TV News,Largest sample; closest to actual result
2,pre-poll,Times Now,ETG,,2023-08-01,2023-08-01,,22,24,23,16,18,17,0,3,1,,,,,Wikipedia,
3,pre-poll,ABP News,CVoter,,2023-12-01,2023-12-01,,23,25,24,16,18,17,0,2,1,,,,,Wikipedia/MediaBrief,
4,pre-poll,Times Now,ETG,,2023-12-01,2023-12-01,,20,24,22,18,20,19,2,4,3,,,,,Wikipedia,
5,pre-poll,India Today,CVoter (MOTN),2023-12-15,2024-01-28,2024-02-08,35801,22,22,22,19,19,19,1,1,1,,53.0,40.0,,BusinessToday,National sample; WB subset; vote share = WB-specific
6,pre-poll,Zee News,Matrize,2024-02-05,2024-02-27,2024-02-27,167843,24,24,24,17,17,17,1,1,1,,,,,Oneindia,National sample; WB estimated ~13000
7,pre-poll,India TV,CNX,2024-02-05,2024-02-23,2024-03-01,,21,21,21,20,20,20,1,1,1,,,,,India TV News,Neck-and-neck projection
8,pre-poll,ABP News,CVoter,,2024-03-01,2024-03-01,,23,23,23,19,19,19,0,0,0,,42.5,40.9,17.6,Wikipedia,Vote share is WB-specific
9,pre-poll,India TV,CNX,,2024-04-03,2024-04-03,,19,19,19,22,22,22,1,1,1,,,,,India TV News,BJP projected to win more seats than TMC
10,pre-poll,India TV,CNX,,2024-04-16,2024-04-16,,19,19,19,23,23,23,0,0,0,,,,,India TV News,
11,pre-poll,News18,In-house,,2024-03-01,2024-03-01,,17,17,17,25,25,25,0,0,0,,,,,YouTube/News18,
12,exit-poll,India Today,Axis My India,,2024-06-01,2024-06-01,580000,11,14,12,26,31,28,0,2,1,,40.0,46.0,12.0,BusinessToday,National sample; WB subset
13,exit-poll,ABP Ananda,CVoter,,2024-06-01,2024-06-01,,13,17,15,23,27,25,1,3,2,,,,,FreePressJournal,
14,exit-poll,Republic TV,Matrize,,2024-06-01,2024-06-01,,16,20,18,21,25,23,0,1,0,,,,,FreePressJournal,
15,exit-poll,News24,Today's Chanakya,,2024-06-01,2024-06-01,,12,22,17,19,29,24,0,2,1,,,,,FreePressJournal,Margin of error ±5
16,exit-poll,Times Now,ETG Research,,2024-06-01,2024-06-01,,20,20,20,21,21,21,1,1,1,,,,,FreePressJournal,
ACTUAL,actual,EC India,ECI,2024-04-19,2024-06-01,2024-06-04,,29,29,29,12,12,12,1,1,1,0,46.1,38.7,9.9,ECI,Congress 4.1% (1 seat); Left 5.8% (0 seats)
