ac07_id,ac07_name,pc01_state_id,pc01_district_id,pc01_state_name,pc01_district_name,tr_ac_name
2007-01-015,pattan,01,,jammu kashmir,,pattan
2007-01-076,suchetgarh,01,,jammu kashmir,,suchetgarh
2007-01-041,devsar,01,,jammu kashmir,,devsar
2007-01-050,zanskar,01,,jammu kashmir,,zanskar
2007-01-059,gool arnas,01,,jammu kashmir,,gool arnas
2007-01-032,pampore,01,,jammu kashmir,,pampore
2007-01-052,inderwal,01,,jammu kashmir,,inderwal
2007-01-071,gandhinagar,01,,jammu kashmir,,gandhinagar
2007-01-082,darhal,01,,jammu kashmir,,darhal
2007-01-042,doru,01,,jammu kashmir,,doru
2007-01-080,chhamb,01,,jammu kashmir,,chhamb
2007-01-007,rafiabad,01,,jammu kashmir,,rafiabad
2007-01-069,bijeypur,01,,jammu kashmir,,bijeypur
2007-01-009,gurez,01,,jammu kashmir,,gurez
2007-01-028,beerwah,01,,jammu kashmir,,beerwah
2007-01-014,gulmarg,01,,jammu kashmir,,gulmarg
2007-01-016,kangan,01,,jammu kashmir,,kangan
2007-01-039,homeshalibugh,01,,jammu kashmir,,homeshalibugh
2007-01-025,batamaloo,01,,jammu kashmir,,batamaloo
2007-01-026,chadoora,01,,jammu kashmir,,chadoora
2007-01-020,idgah,01,,jammu kashmir,,idgah
2007-01-038,kulgam,01,,jammu kashmir,,kulgam
2007-01-084,kalakote,01,,jammu kashmir,,kalakote
2007-01-017,ganderbal,01,,jammu kashmir,,ganderbal
2007-01-005,langate,01,,jammu kashmir,,langate
2007-01-065,kathua,01,,jammu kashmir,,kathua
2007-01-022,habbakadal,01,,jammu kashmir,,habbakadal
2007-01-083,rajouri,01,,jammu kashmir,,rajouri
2007-01-002,kupwara,01,,jammu kashmir,,kupwara
2007-01-029,khansahib,01,,jammu kashmir,,khansahib
2007-01-021,khanyar,01,,jammu kashmir,,khanyar
2007-01-086,mendhar,01,,jammu kashmir,,mendhar
2007-01-054,bhaderwah,01,,jammu kashmir,,bhaderwah
2007-01-063,bani,01,,jammu kashmir,,bani
2007-01-046,pahalgam,01,,jammu kashmir,,pahalgam
2007-01-033,pulwama,01,,jammu kashmir,,pulwama
2007-01-013,baramulla,01,,jammu kashmir,,baramulla
2007-01-019,zadibal,01,,jammu kashmir,,zadibal
2007-01-024,sonawar,01,,jammu kashmir,,sonawar
2007-01-043,kokernag,01,,jammu kashmir,,kokernag
2007-01-079,akhnoor,01,,jammu kashmir,,akhnoor
2007-01-008,sopore,01,,jammu kashmir,,sopore
2007-01-072,jammu east,01,,jammu kashmir,,jammu east
2007-01-004,handwara,01,,jammu kashmir,,handwara
2007-01-010,bandipora,01,,jammu kashmir,,bandipora
2007-01-035,wachi,01,,jammu kashmir,,wachi
2007-01-070,nagrota,01,,jammu kashmir,,nagrota
2007-01-078,raipur domana,01,,jammu kashmir,,raipur domana
2007-01-048,leh,01,,jammu kashmir,,leh
2007-01-057,gulabgarh,01,,jammu kashmir,,gulabgarh
2007-01-001,karnah,01,,jammu kashmir,,karnah
2007-01-055,ramban,01,,jammu kashmir,,ramban
2007-01-045,bijbehara,01,,jammu kashmir,,bijbehera
2007-01-036,shopian,01,,jammu kashmir,,shopian
2007-01-060,udhampur,01,,jammu kashmir,,udhampur
2007-01-066,billawar,01,,jammu kashmir,,billawar
2007-01-064,basohli,01,,jammu kashmir,,basohli
2007-01-081,nowshera,01,,jammu kashmir,,nowshera
2007-01-075,r s pura,01,,jammu kashmir,,r s pura
2007-01-040,anantnag,01,,jammu kashmir,,anantnag
2007-01-011,sonawari,01,,jammu kashmir,,sonawari
2007-01-049,kargil,01,,jammu kashmir,,kargil
2007-01-062,ramnagar,01,,jammu kashmir,,ramnagar
2007-01-023,amirakadal,01,,jammu kashmir,,amirakadal
2007-01-027,badgam,01,,jammu kashmir,,badgam
2007-01-012,sangrama,01,,jammu kashmir,,sangrama
2007-01-056,banihal,01,,jammu kashmir,,banihal
2007-01-077,marh,01,,jammu kashmir,,marh
2007-01-051,kishtwar,01,,jammu kashmir,,kishtwar
2007-01-068,samba,01,,jammu kashmir,,samba
2007-01-034,rajpora,01,,jammu kashmir,,rajpora
2007-01-074,bishnah,01,,jammu kashmir,,bishnah
2007-01-067,hiranagar,01,,jammu kashmir,,hiranagar
2007-01-047,nobra,01,,jammu kashmir,,nobra
2007-01-073,jammu west,01,,jammu kashmir,,jammu west
2007-01-006,uri,01,,jammu kashmir,,uri
2007-01-087,poonch haveli,01,,jammu kashmir,,poonch haveli
2007-01-058,reasi,01,,jammu kashmir,,reasi
2007-01-044,shangus,01,,jammu kashmir,,shangus
2007-01-085,surankote,01,,jammu kashmir,,surankote
2007-01-003,lolab,01,,jammu kashmir,,lolab
