Caste sub-group,% of Hindu,Tier,Source
ST total (Santhal / Munda / Oraon / Bhumij),34.2,A/E,"24.78% of AC / 72.42% Hindu = 34.2% of Hindu population (A numerator, E denominator)"
└ Santhal,20.7,D,Largest ST sub-group in Sundarbans fringe
└ Munda,6.9,D,
└ Oraon / Bhumij / Other ST,6.6,E,
SC total (Bagdi / Namasudra / other),51.6,A/E,37.36% of AC / 72.42% Hindu = 51.6% of Hindu pop
└ Bagdi,24.9,D,Dominant fishing SC in delta; ~48% of SC pool within AC
└ Namasudra,13.8,D,Present but lower density than Bangaon belt; ~27% of SC pool
└ Halpati / Hari / Dom / other SC,12.9,E,Residual
UC bhadralok (Brahmin / Kayastha / Baidya),4.1,E,3% of AC / 72.42% = 4.1% of Hindu
OBC specific (Mahishya / Teli / Sadgop),6.9,E,5% of AC / 72.42% = 6.9% of Hindu
Other Hindu middle castes,3.2,E,Residual within Hindu
