axis,category,pct,tier,source,is_subgroup
religion,Hindu,86.78,E,"2011 weighted (Tarakeswar CDB 88.94% + Muni 93.22% + Dhaniakhali-5GP 80.85%) = 86.97% base; projected 2011→2019 religion-differential growth (+1.0%/yr Hindu, +1.3%/yr Muslim over 8yr) → small shift; see methodology §4",no
religion,Muslim,11.74,E,2011 weighted base 11.49%; projected to 11.74% after differential growth,no
religion,Sarna / Tribal religion,0.90,E,ST-heavy Dhaniakhali fringe; some Santali practitioners; weighted from CDB and Dhaniakhali,no
religion,Christian,0.30,E,Very small; missionary presence in Dhaniakhali fringe,no
religion,Other (Jain/Sikh/Buddhist),0.28,E,"Residual; Tarakeswar Muni has small Jain (0.17%), Sikh (0.11%) populations",no
caste,SC total,25.5,E,Weighted 2011: Tarakeswar CDB 23.63% + Muni 14.26% + Dhaniakhali-5GP ~33% → ~25.45%; projected stable (SC share changes slowly),no
caste,Bagdi,9.5,C,"Dominant SC in Hooghly district (Hooghly SC breakout: Bagdi 630,219 = ~11.4% of district pop); primary SC in this AC",yes
caste,Bauri,4.5,C,"Major SC sub-group in Hooghly; Hooghly Bauri 125,849 (~2.3% district), higher in rural CDB",yes
caste,Namasudra,3.5,C,Present but not dominant (unlike N24P); smaller share in Hooghly than in Bangaon belt,yes
caste,"Chamar / other SC (Hari, Jalia, Rajbanshi etc.)",7.5,E,"Residual SC sub-groups; Hooghly has Chamar 62k, Jalia 57k, Rajbanshi 44k, Hari 41k",yes
caste,ST total,7.3,E,Weighted 2011: CDB 5.04% + Muni 0.50% + Dhaniakhali 14.26% → ~7.31%; Santal dominant,no
caste,Santal,5.5,C,"Dominant ST group in Hooghly (153,809 in district); rural CDB and Dhaniakhali fringe",yes
caste,"Other ST (Munda, Bhumij, Lodha)",1.8,E,Residual,yes
caste,OBC Hindu (combined),30.0,D,"Load-bearing parameter. Mahishya + Sadgop + Kurmi + Tili combined; Hooghly's ""cultivating middle castes"" — no OBC census; estimate from journalistic-academic sources (tier D)",no
caste,Mahishya,18.0,D,"Single largest caste in Hooghly (Wikipedia/India Today: ""single most important middle-caste in south-western Bengal; very numerous in Midnapore, 24-Parganas, Hooghly, Howrah""); in General category (not OBC) but functionally dominant cultivating caste; ~18% of constituency estimate",yes
caste,Sadgop,6.0,D,Second-tier cultivating caste in Hooghly; OBC-B classified since ~2010s state order; significant in Tarakeswar area,yes
caste,Kurmi,3.5,D,"OBC-A; cultivating caste, present in rural GPs",yes
caste,Tili (oil-presser caste) / other OBC,2.5,D,Temple-town trade economy has Tili/teleseller; other OBC sub-groups,yes
caste,UC bhadralok (Brahmin / Kayastha / Baidya),8.0,D,Temple-town educated Bengali professional class concentrated in Tarakeswar Muni; temple priests (Brahmin) significant,no
caste,"Other Hindu (Goala, Tanti, Sutradhar, unclassified middle)",15.9,E,Residual within Hindu: 86.78% − 25.5 SC − 7.3 ST − 30.0 OBC − 8.0 UC = 15.98%,no
caste,Muslim (all sub-castes pooled),11.74,E,See C.1; sub-structure in D.2,no
caste,Christian + Sarna-only + Other,1.46,E,See C.1,no
age_cohort,0–4,7.5,E,Projected from Census 2011 Hooghly district age pyramid,no
age_cohort,5–9,8.0,E,,no
age_cohort,10–14,8.5,E,,no
age_cohort,15–17 (pre-voter),5.5,E,,no
age_cohort,18–22 (first-time voters in 2019),9.0,E,,no
age_cohort,23–27,9.5,E,,no
age_cohort,28–32,9.5,E,,no
age_cohort,33–37,8.5,E,,no
age_cohort,38–42,7.5,E,,no
age_cohort,43–47,7.0,E,,no
age_cohort,48–52,6.0,E,,no
age_cohort,53–57,5.0,E,,no
age_cohort,58–62,4.0,E,,no
age_cohort,63–67,2.5,E,,no
age_cohort,68+,2.0,E,,no
gender,Male,50.89,E,Weighted sex ratio ~965 F/1000M → 50.89% M / 49.11% F,no
gender,Female,49.11,E,,no
gender,Third gender,0.00,E,Negligible; consistent with WB AC pattern,no
mother_tongue,Bengali,92.5,E,Weighted 2011: Tarakeswar CDB 96.93% Bengali + Muni 83.8% + Dhaniakhali fringe ~93% est → ~94.4% base; adjusted down slightly for Hindi-speaker growth from pilgrims/traders in Muni; ~92.5% by 2019,no
mother_tongue,Santali,2.5,E,CDB 2.26% Santali; Dhaniakhali ST fringe adds more; weighted ~2.5%,no
